GO term,Description,P-value,FDR q-value,"Enrichment (N, B, n, b)",Genes,Ontology,Direction
GO:0000398,"mRNA splicing, via spliceosome",0.00000000215,0.0000158,"2.56 (2093,241,163,48)",[+] Show genes,Process,Up
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.00000000215,0.00000788,"2.56 (2093,241,163,48)",[+] Show genes,Process,Up
GO:0000375,"RNA splicing, via transesterification reactions",0.00000000227,0.00000555,"2.51 (2093,246,163,48)",[+] Show genes,Process,Up
GO:0044766,multi-organism transport,0.0000000602,0.00011,"17.76 (2093,23,41,8)",[+] Show genes,Process,Up
GO:1902579,multi-organism localization,0.0000000602,0.0000882,"17.76 (2093,23,41,8)",[+] Show genes,Process,Up
GO:0008380,RNA splicing,0.000000189,0.00023,"1.43 (2093,329,662,149)",[+] Show genes,Process,Up
GO:0034504,protein localization to nucleus,0.000000433,0.000453,"26.83 (2093,39,12,6)",[+] Show genes,Process,Up
GO:0006606,protein import into nucleus,0.00000208,0.00191,"21.65 (2093,29,20,6)",[+] Show genes,Process,Up
GO:0075733,intracellular transport of virus,0.00000307,0.0025,"28.75 (2093,13,28,5)",[+] Show genes,Process,Up
GO:0046794,transport of virus,0.00000307,0.00225,"28.75 (2093,13,28,5)",[+] Show genes,Process,Up
GO:0065003,protein-containing complex assembly,0.00000316,0.0021,"1.77 (2093,307,262,68)",[+] Show genes,Process,Up
GO:0017038,protein import,0.00000414,0.00253,"19.62 (2093,32,20,6)",[+] Show genes,Process,Up
GO:0016071,mRNA metabolic process,0.00000752,0.00423,"1.99 (2093,552,80,42)",[+] Show genes,Process,Up
GO:0046907,intracellular transport,0.000011,0.00573,"1.69 (2093,311,283,71)",[+] Show genes,Process,Up
GO:0034622,cellular protein-containing complex assembly,0.0000221,0.0108,"1.78 (2093,261,261,58)",[+] Show genes,Process,Up
GO:0006397,mRNA processing,0.0000272,0.0124,"3.82 (2093,375,19,13)",[+] Show genes,Process,Up
GO:0051170,import into nucleus,0.0000286,0.0123,"20.68 (2093,46,11,5)",[+] Show genes,Process,Up
GO:0051649,establishment of localization in cell,0.0000478,0.0194,"1.62 (2093,328,283,72)",[+] Show genes,Process,Up
GO:0051641,cellular localization,0.0000612,0.0236,"2.44 (2093,376,57,25)",[+] Show genes,Process,Up
GO:0071702,organic substance transport,0.000083,0.0304,"1.60 (2093,332,284,72)",[+] Show genes,Process,Up
GO:0048384,retinoic acid receptor signaling pathway,0.0000831,0.029,"27.54 (2093,3,76,3)",[+] Show genes,Process,Up
GO:0006810,transport,0.0000862,0.0287,"1.46 (2093,490,290,99)",[+] Show genes,Process,Up
GO:0006913,nucleocytoplasmic transport,0.0000957,0.0305,"3.39 (2093,142,74,17)",[+] Show genes,Process,Up
GO:0051234,establishment of localization,0.0000999,0.0305,"1.45 (2093,504,290,101)",[+] Show genes,Process,Up
GO:0071705,nitrogen compound transport,0.000104,0.0304,"1.60 (2093,322,284,70)",[+] Show genes,Process,Up
GO:0051169,nuclear transport,0.000114,0.0321,"3.34 (2093,144,74,17)",[+] Show genes,Process,Up
GO:0006891,intra-Golgi vesicle-mediated transport,0.00017,0.0462,"34.88 (2093,5,36,3)",[+] Show genes,Process,Up
GO:0022618,ribonucleoprotein complex assembly,0.000249,0.0652,"1.88 (2093,199,240,43)",[+] Show genes,Process,Up
GO:0051179,localization,0.000257,0.0649,"1.40 (2093,553,290,107)",[+] Show genes,Process,Up
GO:1903241,U2-type prespliceosome assembly,0.000278,0.0678,"93.02 (2093,3,15,2)",[+] Show genes,Process,Up
GO:0051168,nuclear export,0.000282,0.0666,"4.20 (2093,105,57,12)",[+] Show genes,Process,Up
