GO term,Description,P-value,FDR q-value,"Enrichment (N, B, n, b)",Genes,Ontology,Direction
GO:0006413,translational initiation,3.3E-30,2.42E-26,"7.70 (2093,133,92,45)",[+] Show genes,Process,Up
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",1.43E-29,5.24E-26,"4.46 (2093,113,270,65)",[+] Show genes,Process,Up
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,7.38E-29,1.8E-25,"4.99 (2093,87,270,56)",[+] Show genes,Process,Up
GO:0019083,viral transcription,7.38E-29,1.35E-25,"4.99 (2093,87,270,56)",[+] Show genes,Process,Up
GO:0006613,cotranslational protein targeting to membrane,4.49E-28,6.58E-25,"4.88 (2093,89,270,56)",[+] Show genes,Process,Up
GO:0070972,protein localization to endoplasmic reticulum,1.08E-27,1.31E-24,"4.82 (2093,90,270,56)",[+] Show genes,Process,Up
GO:0072599,establishment of protein localization to endoplasmic reticulum,1.08E-27,1.13E-24,"4.82 (2093,90,270,56)",[+] Show genes,Process,Up
GO:0045047,protein targeting to ER,1.08E-27,9.85E-25,"4.82 (2093,90,270,56)",[+] Show genes,Process,Up
GO:0006612,protein targeting to membrane,2.53E-27,2.06E-24,"4.77 (2093,91,270,56)",[+] Show genes,Process,Up
GO:0090150,establishment of protein localization to membrane,6.44E-25,4.71E-22,"4.43 (2093,98,270,56)",[+] Show genes,Process,Up
GO:0006605,protein targeting,1.38E-24,9.16E-22,"4.20 (2093,101,286,58)",[+] Show genes,Process,Up
GO:0000956,nuclear-transcribed mRNA catabolic process,2.06E-24,1.26E-21,"3.63 (2093,175,234,71)",[+] Show genes,Process,Up
GO:0006402,mRNA catabolic process,2.17E-22,1.22E-19,"3.37 (2093,191,234,72)",[+] Show genes,Process,Up
GO:0072657,protein localization to membrane,5.7E-22,2.98E-19,"4.02 (2093,108,270,56)",[+] Show genes,Process,Up
GO:0016072,rRNA metabolic process,1.03E-20,5.02E-18,"2.00 (2093,200,674,129)",[+] Show genes,Process,Up
GO:0006412,translation,1.26E-20,5.75E-18,"3.46 (2093,168,234,65)",[+] Show genes,Process,Up
GO:0044265,cellular macromolecule catabolic process,2.69E-20,1.16E-17,"2.83 (2093,269,228,83)",[+] Show genes,Process,Up
GO:0043043,peptide biosynthetic process,2.79E-20,1.14E-17,"3.42 (2093,170,234,65)",[+] Show genes,Process,Up
GO:0006364,rRNA processing,4.94E-20,1.9E-17,"2.17 (2093,188,575,112)",[+] Show genes,Process,Up
GO:0043604,amide biosynthetic process,6.66E-20,2.44E-17,"3.34 (2093,177,234,66)",[+] Show genes,Process,Up
GO:0006401,RNA catabolic process,1.34E-19,4.67E-17,"4.41 (2093,215,106,48)",[+] Show genes,Process,Up
GO:0009057,macromolecule catabolic process,3.43E-19,1.14E-16,"2.74 (2093,278,228,83)",[+] Show genes,Process,Up
GO:0006518,peptide metabolic process,5.91E-19,1.88E-16,"3.27 (2093,178,234,65)",[+] Show genes,Process,Up
GO:0072594,establishment of protein localization to organelle,9.06E-19,2.77E-16,"3.38 (2093,130,286,60)",[+] Show genes,Process,Up
GO:0043603,cellular amide metabolic process,2.55E-18,7.46E-16,"3.16 (2093,187,234,66)",[+] Show genes,Process,Up
GO:0034655,nucleobase-containing compound catabolic process,7.5E-17,2.11E-14,"2.76 (2093,246,228,74)",[+] Show genes,Process,Up
GO:0019439,aromatic compound catabolic process,7.5E-17,2.03E-14,"2.76 (2093,246,228,74)",[+] Show genes,Process,Up
GO:0006886,intracellular protein transport,7.72E-17,2.02E-14,"4.58 (2093,180,104,41)",[+] Show genes,Process,Up
