Plate,Well,Amplicon,sgRNA,Treatment
4,A01,GAPDH,GCN1-1_2,DMSO
4,A02,GAPDH,GCN1-1_2,100nM
4,A03,GAPDH,GCN1-1_2,1μM
4,A04,GAPDH,GCN1-3_4,DMSO
4,A05,GAPDH,GCN1-3_4,100nM
4,A06,GAPDH,GCN1-3_4,1μM
4,A07,GAPDH,FLUC-1_2,DMSO
4,A08,GAPDH,FLUC-1_2,100nM
4,A09,GAPDH,FLUC-1_2,1μM
4,B01,GAPDH,GCN1-1_2,DMSO
4,B02,GAPDH,GCN1-1_2,100nM
4,B03,GAPDH,GCN1-1_2,1μM
4,B04,GAPDH,GCN1-3_4,DMSO
4,B05,GAPDH,GCN1-3_4,100nM
4,B06,GAPDH,GCN1-3_4,1μM
4,B07,GAPDH,FLUC-1_2,DMSO
4,B08,GAPDH,FLUC-1_2,100nM
4,B09,GAPDH,FLUC-1_2,1μM
4,C01,GAPDH,GCN1-1_2,DMSO
4,C02,GAPDH,GCN1-1_2,100nM
4,C03,GAPDH,GCN1-1_2,1μM
4,C04,GAPDH,GCN1-3_4,DMSO
4,C05,GAPDH,GCN1-3_4,100nM
4,C06,GAPDH,GCN1-3_4,1μM
4,C07,GAPDH,FLUC-1_2,DMSO
4,C08,GAPDH,FLUC-1_2,100nM
4,C09,GAPDH,FLUC-1_2,1μM
4,D01,JUN,GCN1-1_2,DMSO
4,D02,JUN,GCN1-1_2,100nM
4,D03,JUN,GCN1-1_2,1μM
4,D04,JUN,GCN1-3_4,DMSO
4,D05,JUN,GCN1-3_4,100nM
4,D06,JUN,GCN1-3_4,1μM
4,D07,JUN,FLUC-1_2,DMSO
4,D08,JUN,FLUC-1_2,100nM
4,D09,JUN,FLUC-1_2,1μM
4,E01,JUN,GCN1-1_2,DMSO
4,E02,JUN,GCN1-1_2,100nM
4,E03,JUN,GCN1-1_2,1μM
4,E04,JUN,GCN1-3_4,DMSO
4,E05,JUN,GCN1-3_4,100nM
4,E06,JUN,GCN1-3_4,1μM
4,E07,JUN,FLUC-1_2,DMSO
4,E08,JUN,FLUC-1_2,100nM
4,E09,JUN,FLUC-1_2,1μM
4,F01,JUN,GCN1-1_2,DMSO
4,F02,JUN,GCN1-1_2,100nM
4,F03,JUN,GCN1-1_2,1μM
4,F04,JUN,GCN1-3_4,DMSO
4,F05,JUN,GCN1-3_4,100nM
4,F06,JUN,GCN1-3_4,1μM
4,F07,JUN,FLUC-1_2,DMSO
4,F08,JUN,FLUC-1_2,100nM
4,F09,JUN,FLUC-1_2,1μM
7,A02,GAPDH,GCN1-1_2,DMSO
7,A03,GAPDH,GCN1-1_2,100nM
7,A04,GAPDH,GCN1-1_2,1μM
7,A05,GAPDH,GCN1-3_4,DMSO
7,A06,GAPDH,GCN1-3_4,100nM
7,A07,GAPDH,GCN1-3_4,1μM
7,A08,GAPDH,FLUC-1_2,DMSO
7,A09,GAPDH,FLUC-1_2,100nM
7,A10,GAPDH,FLUC-1_2,1μM
7,B02,GAPDH,GCN1-1_2,DMSO
7,B03,GAPDH,GCN1-1_2,100nM
7,B04,GAPDH,GCN1-1_2,1μM
7,B05,GAPDH,GCN1-3_4,DMSO
7,B06,GAPDH,GCN1-3_4,100nM
7,B07,GAPDH,GCN1-3_4,1μM
7,B08,GAPDH,FLUC-1_2,DMSO
7,B09,GAPDH,FLUC-1_2,100nM
7,B10,GAPDH,FLUC-1_2,1μM
7,C02,GAPDH,GCN1-1_2,DMSO
7,C03,GAPDH,GCN1-1_2,100nM
7,C04,GAPDH,GCN1-1_2,1μM
7,C05,GAPDH,GCN1-3_4,DMSO
7,C06,GAPDH,GCN1-3_4,100nM
7,C07,GAPDH,GCN1-3_4,1μM
7,C08,GAPDH,FLUC-1_2,DMSO
7,C09,GAPDH,FLUC-1_2,100nM
7,C10,GAPDH,FLUC-1_2,1μM
7,D02,EGR1,GCN1-1_2,DMSO
7,D03,EGR1,GCN1-1_2,100nM
7,D04,EGR1,GCN1-1_2,1μM
7,D05,EGR1,GCN1-3_4,DMSO
7,D06,EGR1,GCN1-3_4,100nM
7,D07,EGR1,GCN1-3_4,1μM
7,D08,EGR1,FLUC-1_2,DMSO
7,D09,EGR1,FLUC-1_2,100nM
7,D10,EGR1,FLUC-1_2,1μM
7,E02,EGR1,GCN1-1_2,DMSO
7,E03,EGR1,GCN1-1_2,100nM
7,E04,EGR1,GCN1-1_2,1μM
7,E05,EGR1,GCN1-3_4,DMSO
7,E06,EGR1,GCN1-3_4,100nM
7,E07,EGR1,GCN1-3_4,1μM
7,E08,EGR1,FLUC-1_2,DMSO
7,E09,EGR1,FLUC-1_2,100nM
7,E10,EGR1,FLUC-1_2,1μM
7,F02,EGR1,GCN1-1_2,DMSO
7,F03,EGR1,GCN1-1_2,100nM
7,F04,EGR1,GCN1-1_2,1μM
7,F05,EGR1,GCN1-3_4,DMSO
7,F06,EGR1,GCN1-3_4,100nM
7,F07,EGR1,GCN1-3_4,1μM
7,F08,EGR1,FLUC-1_2,DMSO
7,F09,EGR1,FLUC-1_2,100nM
7,F10,EGR1,FLUC-1_2,1μM
