FlowCell Text Data File: 227l5.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 17:27:37
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
841987, 343111, 2117, 0.00, 0.430343, , 
787107, 343029, 3012, 0.17, 0.581486, , 
745009, 343122, 2912, 0.27, 0.705797, , 
714754, 342855, 5220, 0.37, 0.797344, , 
866701, 342954, 2567, 0.47, 0.364209, , 
818499, 342953, 2580, 0.57, 0.492977, , 
828278, 342992, 2426, 0.67, 0.466505, , 
842443, 343058, 2345, 0.76, 0.428777, , 
829881, 343179, 2285, 0.87, 0.463381, , 
817420, 343250, 2239, 0.97, 0.497894, , 
816576, 343121, 2198, 1.07, 0.499373, , 
818499, 343061, 2182, 1.17, 0.493686, , 
822385, 343154, 2155, 1.27, 0.483636, , 
824700, 343242, 2134, 1.37, 0.477887, , 
815975, 343152, 2440, 1.46, 0.501233, , 
840811, 343282, 1545, 1.57, 0.434610, , 
799277, 343239, 11738, 1.66, 0.548334, , 
164426, 343207, 22012, 1.76, 4.106618, , 
203377, 343066, 21848, 1.86, 3.627249, , 
202538, 343131, 21918, 1.96, 3.636978, , 
200909, 343017, 22018, 2.06, 3.654404, , 
201454, 343092, 22151, 2.16, 3.648799, , 
202205, 343182, 22197, 2.26, 3.641016, , 
201901, 343066, 22306, 2.36, 3.643641, , 
202530, 343027, 22437, 2.46, 3.636385, , 
204869, 343038, 22586, 2.56, 3.610616, , 
207600, 343144, 22729, 2.66, 3.581510, , 
211092, 342923, 22845, 2.76, 3.542521, , 
215533, 342973, 22909, 2.86, 3.495995, , 
