FlowCell Text Data File: 20241104_i287_4.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:27:29
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
740214, 328314, 0.00, 0.179982, , 
457158, 328295, 0.10, 1.264360, , 
594365, 328331, 0.19, 0.673947, , 
465357, 328311, 0.29, 1.224467, , 
481343, 328292, 0.38, 1.148327, , 
749369, 328245, 0.48, 0.151847, , 
742358, 328391, 0.58, 0.174001, , 
692055, 328508, 0.68, 0.332707, , 
782186, 328531, 0.78, 0.057351, , 
770704, 328303, 0.88, 0.089068, , 
769161, 328237, 0.98, 0.093126, , 
750477, 328294, 1.08, 0.148858, , 
669282, 328326, 1.17, 0.406760, , 
809286, 328036, 1.27, -0.022692, , 
800596, 328053, 1.37, 0.001720, , 
796128, 328113, 1.47, 0.014726, , 
793327, 328137, 1.57, 0.022822, , 
791330, 328267, 1.67, 0.029386, , 
787071, 328443, 1.77, 0.042737, , 
772203, 328465, 1.87, 0.085806, , 
749811, 328416, 1.97, 0.151692, , 
815054, 328265, 2.07, -0.037104, , 
757282, 328188, 2.17, 0.127817, , 
47629, 328249, 2.26, 6.353601, , 
60452, 328270, 2.36, 5.817223, , 
60001, 328304, 2.46, 5.834309, , 
58238, 328105, 2.56, 5.900059, , 
57473, 327993, 2.66, 5.929048, , 
58196, 328061, 2.76, 5.901381, , 
57227, 328059, 2.86, 5.939154, , 
