,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A02,SYBR,,Unkn,,,21.9231054860007,21.9231054860007,0,NaN,NaN,NaN,0,72,
,A03,SYBR,,Unkn,,,21.2123777940113,21.2123777940113,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,,,22.6000835213905,22.6000835213905,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,,,21.0007954073757,21.0007954073757,0,NaN,NaN,NaN,0,72,
,A06,SYBR,,Unkn,,,21.0860852021441,21.0860852021441,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,,,22.0896630986233,22.0896630986233,0,NaN,NaN,NaN,0,72,
,A08,SYBR,,Unkn,,,20.9027233763147,20.9027233763147,0,NaN,NaN,NaN,0,72,
,A09,SYBR,,Unkn,,,20.6243686799192,20.6243686799192,0,NaN,NaN,NaN,0,72,
,A10,SYBR,,Unkn,,,21.4833133248025,21.4833133248025,0,NaN,NaN,NaN,0,72,
,B02,SYBR,,Unkn,,,21.8541297651747,21.8541297651747,0,NaN,NaN,NaN,0,72,
,B03,SYBR,,Unkn,,,21.2375953237397,21.2375953237397,0,NaN,NaN,NaN,0,72,
,B04,SYBR,,Unkn,,,22.198328495925,22.198328495925,0,NaN,NaN,NaN,0,72,
,B05,SYBR,,Unkn,,,20.9993078825691,20.9993078825691,0,NaN,NaN,NaN,0,72,
,B06,SYBR,,Unkn,,,21.1470709523824,21.1470709523824,0,NaN,NaN,NaN,0,72,
,B07,SYBR,,Unkn,,,22.176634771373,22.176634771373,0,NaN,NaN,NaN,0,72,
,B08,SYBR,,Unkn,,,21.2891620069974,21.2891620069974,0,NaN,NaN,NaN,0,72,
,B09,SYBR,,Unkn,,,20.6489259688422,20.6489259688422,0,NaN,NaN,NaN,0,72,
,B10,SYBR,,Unkn,,,21.4507924586333,21.4507924586333,0,NaN,NaN,NaN,0,72,
,B11,SYBR,,Unkn,,,38.375372535505,38.375372535505,0,NaN,NaN,NaN,0,72,
,B12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,C02,SYBR,,Unkn,,,22.1234065771784,22.1234065771784,0,NaN,NaN,NaN,0,72,
,C03,SYBR,,Unkn,,,21.2727215103629,21.2727215103629,0,NaN,NaN,NaN,0,72,
,C04,SYBR,,Unkn,,,22.2313328578771,22.2313328578771,0,NaN,NaN,NaN,0,72,
,C05,SYBR,,Unkn,,,20.9146527828566,20.9146527828566,0,NaN,NaN,NaN,0,72,
,C06,SYBR,,Unkn,,,21.0515304097286,21.0515304097286,0,NaN,NaN,NaN,0,72,
,C07,SYBR,,Unkn,,,22.2667301783253,22.2667301783253,0,NaN,NaN,NaN,0,72,
,C08,SYBR,,Unkn,,,21.3236298309407,21.3236298309407,0,NaN,NaN,NaN,0,72,
,C09,SYBR,,Unkn,,,20.7144228484386,20.7144228484386,0,NaN,NaN,NaN,0,72,
,C10,SYBR,,Unkn,,,21.3162895844704,21.3162895844704,0,NaN,NaN,NaN,0,72,
,C11,SYBR,,Unkn,,,37.1365463486092,37.1365463486092,0,NaN,NaN,NaN,0,72,
,C12,SYBR,,Unkn,,,38.770079108508,38.770079108508,0,NaN,NaN,NaN,0,72,
,D02,SYBR,,Unkn,,,35.2632582821861,35.2632582821861,0,NaN,NaN,NaN,0,72,
,D03,SYBR,,Unkn,,,29.0291659751378,29.0291659751378,0,NaN,NaN,NaN,0,72,
,D04,SYBR,,Unkn,,,27.3391449705286,27.3391449705286,0,NaN,NaN,NaN,0,72,
,D05,SYBR,,Unkn,,,36.0112117618573,36.0112117618573,0,NaN,NaN,NaN,0,72,
,D06,SYBR,,Unkn,,,28.6117168599857,28.6117168599857,0,NaN,NaN,NaN,0,72,
,D07,SYBR,,Unkn,,,27.7735559205044,27.7735559205044,0,NaN,NaN,NaN,0,72,
,D08,SYBR,,Unkn,,,36.370291020986,36.370291020986,0,NaN,NaN,NaN,0,72,
,D09,SYBR,,Unkn,,,33.881229537272,33.881229537272,0,NaN,NaN,NaN,0,72,
,D10,SYBR,,Unkn,,,32.8432515823818,32.8432515823818,0,NaN,NaN,NaN,0,72,
,D11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,D12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,E02,SYBR,,Unkn,,,35.4835579991208,35.4835579991208,0,NaN,NaN,NaN,0,72,
,E03,SYBR,,Unkn,,,29.2999212053155,29.2999212053155,0,NaN,NaN,NaN,0,72,
,E04,SYBR,,Unkn,,,27.0274250232613,27.0274250232613,0,NaN,NaN,NaN,0,72,
,E05,SYBR,,Unkn,,,35.5824957673447,35.5824957673447,0,NaN,NaN,NaN,0,72,
,E06,SYBR,,Unkn,,,28.3420189125535,28.3420189125535,0,NaN,NaN,NaN,0,72,
,E07,SYBR,,Unkn,,,28.0035207339051,28.0035207339051,0,NaN,NaN,NaN,0,72,
,E08,SYBR,,Unkn,,,36.0951749546805,36.0951749546805,0,NaN,NaN,NaN,0,72,
,E09,SYBR,,Unkn,,,33.1040098560874,33.1040098560874,0,NaN,NaN,NaN,0,72,
,E10,SYBR,,Unkn,,,32.4775855507417,32.4775855507417,0,NaN,NaN,NaN,0,72,
,E11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,F02,SYBR,,Unkn,,,35.6870586555755,35.6870586555755,0,NaN,NaN,NaN,0,72,
,F03,SYBR,,Unkn,,,29.0060496370752,29.0060496370752,0,NaN,NaN,NaN,0,72,
,F04,SYBR,,Unkn,,,26.2234392167588,26.2234392167588,0,NaN,NaN,NaN,0,72,
,F05,SYBR,,Unkn,,,35.0621346540573,35.0621346540573,0,NaN,NaN,NaN,0,72,
,F06,SYBR,,Unkn,,,27.9353480508799,27.9353480508799,0,NaN,NaN,NaN,0,72,
,F07,SYBR,,Unkn,,,32.6698566518688,32.6698566518688,0,NaN,NaN,NaN,0,72,
,F08,SYBR,,Unkn,,,34.8494072615445,34.8494072615445,0,NaN,NaN,NaN,0,72,
,F09,SYBR,,Unkn,,,32.8081645435194,32.8081645435194,0,NaN,NaN,NaN,0,72,
,F10,SYBR,,Unkn,,,32.3368898511236,32.3368898511236,0,NaN,NaN,NaN,0,72,
,F11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G02,SYBR,,Unkn,,,35.8789202265079,35.8789202265079,0,NaN,NaN,NaN,0,72,
,G03,SYBR,,Unkn,,,34.0473442224128,34.0473442224128,0,NaN,NaN,NaN,0,72,
,G04,SYBR,,Unkn,,,30.5459364044649,30.5459364044649,0,NaN,NaN,NaN,0,72,
,G05,SYBR,,Unkn,,,36.1658002461425,36.1658002461425,0,NaN,NaN,NaN,0,72,
,G06,SYBR,,Unkn,,,34.5443098975979,34.5443098975979,0,NaN,NaN,NaN,0,72,
,G07,SYBR,,Unkn,,,31.975065449132,31.975065449132,0,NaN,NaN,NaN,0,72,
,G08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,G09,SYBR,,Unkn,,,37.0913491920736,37.0913491920736,0,NaN,NaN,NaN,0,72,
,G10,SYBR,,Unkn,,,32.7014049879302,32.7014049879302,0,NaN,NaN,NaN,0,72,
,G11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H02,SYBR,,Unkn,,,36.3143600228087,36.3143600228087,0,NaN,NaN,NaN,0,72,
,H03,SYBR,,Unkn,,,37.885255865538,37.885255865538,0,NaN,NaN,NaN,0,72,
