gene,day,gDNA,mRNA
A1CF,day 5,0.06,0.29
A1CF,day 13,0.78,0.98
A1CF,day 21,1.23,1.56
AAR2,day 5,0.66,0.4
AAR2,day 13,1.27,1.62
AAR2,day 21,1.87,2.16
AARS1,day 5,1.27,0.37
AARS1,day 13,-3.38,-4.13
AARS1,day 21,-2.8,-5.3
AARS2,day 5,1.11,0.33
AARS2,day 13,-0.35,-0.74
AARS2,day 21,-1.85,-3
AARSD1,day 5,0.05,0.29
AARSD1,day 13,0.59,0.85
AARSD1,day 21,0.92,1.33
AATF,day 5,-1.39,-1.65
AATF,day 13,-0.69,-3.43
AATF,day 21,-1.69,-3.01
ABCE1,day 5,-0.35,-0.48
ABCE1,day 13,-3.81,-3.97
ABCE1,day 21,-3.25,-4.23
ABCF1,day 5,-0.04,0.31
ABCF1,day 13,-1.59,-3.17
ABCF1,day 21,-1.67,-4.02
ABT1,day 5,0.24,-0.34
ABT1,day 13,-2.33,-3.42
ABT1,day 21,-1.63,-2.93
ACAA2,day 5,-0.26,-0.26
ACAA2,day 13,0.22,-0.27
ACAA2,day 21,0.86,-1.64
ACAT1,day 5,-0.25,-0.13
ACAT1,day 13,0.55,0.81
ACAT1,day 21,1.29,1.13
ACIN1,day 5,-0.69,0.04
ACIN1,day 13,-1.07,0.43
ACIN1,day 21,0.67,0.85
ACO1,day 5,0.12,0.15
ACO1,day 13,1.31,1.66
ACO1,day 21,1.79,2.47
ACO2,day 5,0.71,0.15
ACO2,day 13,1.23,0.95
ACO2,day 21,0.26,0.72
ACTN4,day 5,0.48,0.25
ACTN4,day 13,1.5,0.87
ACTN4,day 21,1.63,1.76
ACTR1A,day 5,0.18,0.06
ACTR1A,day 13,-2.77,-2.64
ACTR1A,day 21,-2.44,-3.78
ADAD1,day 5,-0.22,0.08
ADAD1,day 13,-0.36,0.54
ADAD1,day 21,0.58,1.39
ADAD2,day 5,-0.66,-0.06
ADAD2,day 13,0.64,0.84
ADAD2,day 21,1.46,1.32
ADAR,day 5,-0.46,-0.13
ADAR,day 13,0.24,0.26
ADAR,day 21,1.05,0.64
ADARB1,day 5,0.08,0.12
ADARB1,day 13,0.31,0.77
ADARB1,day 21,1.25,0.75
ADARB2,day 5,0.1,0.13
ADARB2,day 13,1.3,1.1
ADARB2,day 21,1.34,1.6
ADAT1,day 5,0.48,-0.09
ADAT1,day 13,0.95,0.93
ADAT1,day 21,1.75,1.31
ADAT2,day 5,0.42,-0.72
ADAT2,day 13,-0.87,-0.89
ADAT2,day 21,-2.08,-2
ADAT3,day 5,1.02,0.45
ADAT3,day 13,1.29,0.65
ADAT3,day 21,-0.06,-0.26
ADD1,day 5,0.55,0.38
ADD1,day 13,1.85,1.45
ADD1,day 21,2.34,2.18
ADD3,day 5,0.4,-0.05
ADD3,day 13,1.41,0.95
ADD3,day 21,1.68,1.55
ADK,day 5,0.41,-0.01
ADK,day 13,0.92,0.61
ADK,day 21,0.56,1.02
AEN,day 5,0.08,0.27
AEN,day 13,0.22,0.39
AEN,day 21,1.1,0.46
AFDN,day 5,-0.31,0.09
AFDN,day 13,1.11,1.3
AFDN,day 21,1.43,2
AFF1,day 5,0.49,0.12
AFF1,day 13,-0.44,-0.34
AFF1,day 21,-1.17,-0.54
AFF2,day 5,-1.22,-0.08
AFF2,day 13,-0.02,0.77
AFF2,day 21,-0.5,1.01
AFF3,day 5,-1.3,-0.39
AFF3,day 13,-0.06,0.04
AFF3,day 21,0.66,-0.12
AFF4,day 5,-0.34,-0.11
AFF4,day 13,0.05,0.12
AFF4,day 21,-0.7,0.15
AFP,day 5,0.07,0.32
AFP,day 13,0.94,1.3
AFP,day 21,1.68,2.02
AGFG1,day 5,-0.52,0.12
AGFG1,day 13,0.43,1.36
AGFG1,day 21,1.2,2.14
AGO1,day 5,-0.07,0.13
AGO1,day 13,0.23,0.63
AGO1,day 21,1.19,1.42
AGO2,day 5,-1.01,0.14
AGO2,day 13,0.5,1.02
AGO2,day 21,1.04,2.05
AGO3,day 5,0.38,-0.21
AGO3,day 13,-0.02,-0.07
AGO3,day 21,1.05,0.51
AGO4,day 5,0.38,-0.07
AGO4,day 13,0.77,0.56
AGO4,day 21,0.96,1.52
AHCYL2,day 5,-0.17,0.39
AHCYL2,day 13,1.45,1.69
AHCYL2,day 21,2.38,2.66
AHNAK,day 5,0.31,0.03
AHNAK,day 13,1.07,1.14
AHNAK,day 21,2.01,2.02
AIMP1,day 5,0.02,0.09
AIMP1,day 13,0.48,0.6
AIMP1,day 21,0.87,1.16
AIMP2,day 5,-0.79,-0.42
AIMP2,day 13,-0.64,-0.52
AIMP2,day 21,-0.91,-0.73
AKAP1,day 5,-0.77,-0.05
AKAP1,day 13,-1.17,-0.06
AKAP1,day 21,-1.78,-0.48
AKAP17A,day 5,0.18,0.21
AKAP17A,day 13,0.62,1.11
AKAP17A,day 21,1.55,1.86
AKAP8,day 5,-0.18,0.01
AKAP8,day 13,1.56,0.66
AKAP8,day 21,1.75,0.85
AKAP8L,day 5,0.61,-0.07
AKAP8L,day 13,1.19,0.7
AKAP8L,day 21,1.49,1.34
ALDH18A1,day 5,0.38,0.36
ALDH18A1,day 13,1.74,1.33
ALDH18A1,day 21,1.96,1.87
ALDH6A1,day 5,-0.02,-0.06
ALDH6A1,day 13,-0.3,0.04
ALDH6A1,day 21,0.33,-0.44
ALDH7A1,day 5,0.51,-0.71
ALDH7A1,day 13,-0.24,0.51
ALDH7A1,day 21,-0.4,0.99
ALDOA,day 5,-0.21,-0.85
ALDOA,day 13,-2.8,-3.8
ALDOA,day 21,-2.8,-4.45
ALDOC,day 5,-0.46,-0.17
ALDOC,day 13,0.37,0.63
ALDOC,day 21,-1.04,1
ALG13,day 5,0.21,0.08
ALG13,day 13,-0.13,-1.05
ALG13,day 21,-0.78,-2.64
ALKBH1,day 5,0.62,0.23
ALKBH1,day 13,0.46,0.8
ALKBH1,day 21,-0.29,0.71
ALKBH2,day 5,0.19,0.36
ALKBH2,day 13,1.41,1.47
ALKBH2,day 21,1.93,2.16
ALKBH3,day 5,-0.49,-0.21
ALKBH3,day 13,-0.57,0.11
ALKBH3,day 21,-0.6,0.46
ALKBH4,day 5,0.52,0.01
ALKBH4,day 13,1.11,0.66
ALKBH4,day 21,1.73,1.16
ALKBH5,day 5,-0.02,0.37
ALKBH5,day 13,1.14,1.21
ALKBH5,day 21,1.09,1.32
ALKBH6,day 5,-0.35,0.14
ALKBH6,day 13,0.68,0.56
ALKBH6,day 21,0.02,0.92
ALKBH7,day 5,-0.03,0.2
ALKBH7,day 13,0.79,0.95
ALKBH7,day 21,1.34,1.77
ALKBH8,day 5,0.24,0.21
ALKBH8,day 13,0.82,0.93
ALKBH8,day 21,0.24,1.3
ALYREF,day 5,0.31,-0.23
ALYREF,day 13,-1.12,-1.19
ALYREF,day 21,-2.37,-2.11
ANG,day 5,0.14,-0.01
ANG,day 13,0.66,0.39
ANG,day 21,-0.09,0.9
ANGEL1,day 5,0.2,0.37
ANGEL1,day 13,0.31,0.77
ANGEL1,day 21,1.42,1.29
ANGEL2,day 5,1.35,0.15
ANGEL2,day 13,1.41,0.75
ANGEL2,day 21,1.8,1.27
ANK3,day 5,0.5,0.33
ANK3,day 13,1.04,1.32
ANK3,day 21,1.57,2.17
ANKHD1,day 5,-0.18,0.31
ANKHD1,day 13,0.97,1.24
ANKHD1,day 21,1.88,1.67
ANKRD17,day 5,0.42,0
ANKRD17,day 13,0.83,0.35
ANKRD17,day 21,0.62,0.73
ANP32A,day 5,-1.57,0.2
ANP32A,day 13,-1.05,0.96
ANP32A,day 21,-0.09,1.27
ANP32B,day 5,-0.05,0.15
ANP32B,day 13,0.43,0.9
ANP32B,day 21,0.86,1.34
ANXA11,day 5,0.34,-0.39
ANXA11,day 13,1.07,-0.18
ANXA11,day 21,-0.17,0.09
ANXA2,day 5,-0.23,-0.19
ANXA2,day 13,-0.8,0.01
ANXA2,day 21,-1.12,0.27
ANXA7,day 5,0.17,0.37
ANXA7,day 13,0.15,0.92
ANXA7,day 21,0.41,1.64
APEH,day 5,-0.34,-0.01
APEH,day 13,1.12,0.62
APEH,day 21,1.35,1.44
APEX1,day 5,-0.07,0.03
APEX1,day 13,0.39,0.59
APEX1,day 21,0.38,0.74
API5,day 5,0.68,0.19
API5,day 13,1.14,0.94
API5,day 21,-0.12,0.81
APOB,day 5,0.13,0.11
APOB,day 13,1.01,1.17
APOB,day 21,1.17,1.88
APOBEC1,day 5,-0.43,-0.26
APOBEC1,day 13,-1.11,0.5
APOBEC1,day 21,-1.02,0.71
APOBEC2,day 5,-0.02,-0.11
APOBEC2,day 13,0.46,0.55
APOBEC2,day 21,1.11,1.3
APOBEC3A,day 5,0.07,-0.5
APOBEC3A,day 13,1.11,0.76
APOBEC3A,day 21,0.69,1.12
APOBEC3B,day 5,0.35,0.27
APOBEC3B,day 13,1.28,1.42
APOBEC3B,day 21,1.87,2.15
APOBEC3C,day 5,0.47,-0.04
APOBEC3C,day 13,0.96,0.83
APOBEC3C,day 21,1.34,1.21
APOBEC3D,day 5,0.07,0.16
APOBEC3D,day 13,1.66,1.57
APOBEC3D,day 21,1.99,2.38
APOBEC3F,day 5,0.31,0.54
APOBEC3F,day 13,1.67,1.99
APOBEC3F,day 21,2.39,2.91
APOBEC3G,day 5,0.49,0.16
APOBEC3G,day 13,0.89,1.09
APOBEC3G,day 21,1.21,1.41
APOBEC3H,day 5,1.11,0.12
APOBEC3H,day 13,0.21,0.32
APOBEC3H,day 21,0.47,0.51
APOBEC4,day 5,0.25,0.03
APOBEC4,day 13,0.02,1.08
APOBEC4,day 21,0.77,1.69
APTX,day 5,-0.31,0.16
APTX,day 13,0.38,0.6
APTX,day 21,0.37,0.65
AQR,day 5,-0.37,-0.98
AQR,day 13,-2.09,-5.82
AQR,day 21,-1.44,-5.07
ARC,day 5,0.34,0.25
ARC,day 13,1.72,1.65
ARC,day 21,2.5,2.46
ARCN1,day 5,-1.21,-1.91
ARCN1,day 13,-3.03,-4.81
ARCN1,day 21,-2.72,-4.77
ARF1,day 5,0.07,-0.54
ARF1,day 13,-1.32,-1.13
ARF1,day 21,-0.06,-0.42
ARHGEF1,day 5,-0.25,0.12
ARHGEF1,day 13,0.76,0.77
ARHGEF1,day 21,0.87,1.26
ARHGEF2,day 5,-0.27,-0.12
ARHGEF2,day 13,0.74,0.76
ARHGEF2,day 21,1.61,1.54
ARHGEF28,day 5,-0.54,-0.09
ARHGEF28,day 13,-0.34,0.41
ARHGEF28,day 21,0.01,0.78
ARL6IP4,day 5,-0.33,0
ARL6IP4,day 13,0.36,0.92
ARL6IP4,day 21,0.6,1.61
ARPC1B,day 5,-0.28,0.05
ARPC1B,day 13,0.33,0.72
ARPC1B,day 21,1,1.35
ASCC1,day 5,0.05,0.19
ASCC1,day 13,0.95,0.66
ASCC1,day 21,1.24,1.02
ASCC3,day 5,0.86,0.33
ASCC3,day 13,-0.21,-0.31
ASCC3,day 21,-1.37,-1.69
ASH1L,day 5,-0.81,-0.99
ASH1L,day 13,-0.12,0.05
ASH1L,day 21,0.58,0.81
ASS1,day 5,-0.33,-0.44
ASS1,day 13,-0.38,-0.62
ASS1,day 21,-0.07,-1.42
ATP1A1,day 5,-0.18,-0.08
ATP1A1,day 13,-1.19,-0.83
ATP1A1,day 21,-1.44,-1.43
ATP2A2,day 5,1.04,-0.1
ATP2A2,day 13,-3.12,-4.06
ATP2A2,day 21,-2.3,-4.54
ATP5F1A,day 5,-0.39,-0.12
ATP5F1A,day 13,-2.77,-4.89
ATP5F1A,day 21,-2.44,-4.53
ATP5F1B,day 5,0.09,0.09
ATP5F1B,day 13,-3.26,-5.02
ATP5F1B,day 21,-2.73,-5.73
ATP5F1C,day 5,1.31,-1.08
ATP5F1C,day 13,-0.41,-4.15
ATP5F1C,day 21,0.3,-3.17
ATXN1,day 5,0.36,0.05
ATXN1,day 13,0.25,0.69
ATXN1,day 21,0.7,1.12
ATXN1L,day 5,0.61,0.11
ATXN1L,day 13,1.27,1.01
ATXN1L,day 21,2.22,1.71
ATXN2,day 5,-0.54,-0.09
ATXN2,day 13,-0.27,0.58
ATXN2,day 21,-0.04,0.61
ATXN2L,day 5,-0.17,-0.03
ATXN2L,day 13,0.17,0.11
ATXN2L,day 21,0.46,0.11
AUH,day 5,0.2,-0.2
AUH,day 13,-0.34,0.4
AUH,day 21,-1.1,0.33
AZGP1,day 5,0.63,0.15
AZGP1,day 13,2.13,1.21
AZGP1,day 21,3,2.13
BAG4,day 5,0.02,-0.45
BAG4,day 13,0.43,-0.72
BAG4,day 21,-1.57,0.12
BARD1,day 5,0.93,0.25
BARD1,day 13,-0.07,0.08
BARD1,day 21,-0.52,-1.57
BASP1,day 5,-0.31,0.34
BASP1,day 13,0.53,0.17
BASP1,day 21,1.94,0.46
BAZ1B,day 5,0.57,0.33
BAZ1B,day 13,0.88,0.88
BAZ1B,day 21,0.69,1.4
BAZ2A,day 5,-0.77,0.03
BAZ2A,day 13,-0.18,-0.45
BAZ2A,day 21,0.62,0.48
BAZ2B,day 5,-0.18,-0.25
BAZ2B,day 13,0.97,-0.13
BAZ2B,day 21,1.57,0.77
BCCIP,day 5,0.23,-0.1
BCCIP,day 13,-0.98,-2
BCCIP,day 21,-0.23,-2.06
BCDIN3D,day 5,0.19,-0.06
BCDIN3D,day 13,1.13,0.94
BCDIN3D,day 21,1.74,1.71
BCLAF1,day 5,0.83,-0.25
BCLAF1,day 13,1.84,0.56
BCLAF1,day 21,0.61,0.88
BICC1,day 5,0.36,-0.25
BICC1,day 13,1.21,-0.15
BICC1,day 21,0.92,-0.19
BLTP2,day 5,-1.04,-0.28
BLTP2,day 13,-2.46,-0.42
BLTP2,day 21,-2.12,-0.39
BMS1,day 5,0.36,-0.2
BMS1,day 13,-1.97,-3.19
BMS1,day 21,-1.74,-4.78
BOLL,day 5,0.61,0.18
BOLL,day 13,1,0.93
BOLL,day 21,1.61,1.72
BOP1,day 5,-0.08,-0.09
BOP1,day 13,-1.41,-2.94
BOP1,day 21,-2.99,-3.07
BRCA1,day 5,0.04,0.22
BRCA1,day 13,0.75,0.7
BRCA1,day 21,0.26,0.51
BRD2,day 5,0.13,0.47
BRD2,day 13,0.98,1.02
BRD2,day 21,0.71,1.8
BRF1,day 5,0.4,-0.37
BRF1,day 13,-2.43,-5.06
BRF1,day 21,-2.81,-6.03
BRF2,day 5,-0.86,-0.17
