gene,day,lfc,essential,n
RPS24,13,-5.0465,essential,785
RPS24,21,-4.3302,essential,785
POLR2A,5,-3.5156,non-essential,1401
PRPF19,13,-4.2876,essential,785
XPO1,21,-3.5892,essential,785
RPL27,5,-3.7022,essential,785
RPS29,13,-4.0489,essential,785
POP1,21,-3.6425,essential,785
RPL23A,5,-1.809,essential,785
EIF2B5,13,-3.8185,essential,785
RPL28,21,-3.4048,essential,785
NBPF10,5,-2.1273,non-essential,1401
EIF2B3,13,-3.7917,essential,785
RSL24D1,21,-4.0693,essential,785
RPS23,5,-1.4369,essential,785
POLR2A,13,-4.8928,non-essential,1401
EIF2B5,21,-3.5204,essential,785
RPL35A,5,-1.7232,essential,785
NOP16,13,-3.8336,essential,785
PSMB2,21,-3.4926,essential,785
NFS1,5,-1.2784,essential,785
SRSF2,13,-3.8759,essential,785
ADAT2,21,-2.077,non-essential,1401
NUTF2,5,-0.9142,essential,785
SNRPD3,13,-3.612,essential,785
MRPL3,21,-3.0718,non-essential,1401
PINX1,5,-3.1532,non-essential,1401
NIP7,13,-4.0217,essential,785
RPS29,21,-3.2743,essential,785
MAK16,5,-1.755,essential,785
NUTF2,13,-4.4083,essential,785
MRPL38,21,-3.0246,essential,785
RPL17,5,-1.3225,essential,785
INTS8,13,-3.5233,essential,785
SNRPD3,21,-3.0844,essential,785
SRSF3,5,-2.3731,essential,785
PPAN,13,-3.3024,essential,785
SF1,21,-2.8107,essential,785
RPL7,5,-1.5808,essential,785
RPL37,13,-4.5075,essential,785
POLR2A,21,-4.1767,non-essential,1401
CC2D1B,5,-1.4864,non-essential,1401
SNRPD2,13,-3.8864,essential,785
SRSF2,21,-3.195,essential,785
RPL18,5,-1.8601,essential,785
RUVBL1,13,-4.6834,essential,785
WDR3,21,-2.9321,essential,785
RPL9,5,-1.5543,essential,785
RSL24D1,13,-3.439,essential,785
RPL9,21,-3.935,essential,785
PSMD7,5,-1.6892,essential,785
NGDN,13,-4.3062,essential,785
NOP16,21,-2.9832,essential,785
RRM1,5,-1.9264,essential,785
ADAT2,13,-0.86952,non-essential,1401
EXOSC8,21,-3.2012,essential,785
RPL13,5,-2.1759,essential,785
DBR1,13,-3.7678,essential,785
SUPT6H,21,-3.6735,essential,785
UBC,5,-1.1894,non-essential,1401
EXOSC8,13,-3.5523,essential,785
DBR1,21,-3.7101,essential,785
PSMA6,5,-1.8596,essential,785
LSG1,13,-2.9502,essential,785
EEF1G,21,-3.6013,essential,785
SF3A1,5,-1.9613,essential,785
RPL9,13,-4.5848,essential,785
POLR2F,21,-3.3858,essential,785
SON,5,-0.93901,essential,785
EIF6,13,-3.2543,essential,785
MRPL10,21,-3.6185,essential,785
CCT3,5,-1.0858,essential,785
POLR2D,13,-3.0024,essential,785
RPS7,21,-3.1433,essential,785
PHGDH,5,-1.2251,non-essential,1401
