gene,day,lfc,essential,n
A1CF,13,0.98484,non-essential,1401
A1CF,21,1.559,non-essential,1401
A1CF,5,0.2935,non-essential,1401
AAR2,21,2.1622,non-essential,1401
AAR2,5,0.4,non-essential,1401
AAR2,13,1.6176,non-essential,1401
AARS1,21,-5.301,essential,785
AARS1,13,-4.1258,essential,785
AARS1,5,0.37483,essential,785
AARS2,21,-2.9956,non-essential,1401
AARS2,13,-0.73811,non-essential,1401
AARS2,5,0.32999,non-essential,1401
AARSD1,13,0.84802,non-essential,1401
AARSD1,21,1.3276,non-essential,1401
AARSD1,5,0.29372,non-essential,1401
AATF,5,-1.6544,essential,785
AATF,13,-3.4346,essential,785
AATF,21,-3.0133,essential,785
ABCE1,5,-0.48496,essential,785
ABCE1,13,-3.9664,essential,785
ABCE1,21,-4.2323,essential,785
ABCF1,13,-3.169,essential,785
ABCF1,21,-4.0233,essential,785
ABCF1,5,0.30972,essential,785
ABT1,13,-3.415,essential,785
ABT1,21,-2.9267,essential,785
ABT1,5,-0.34317,essential,785
ACAA2,5,-0.25726,non-essential,1401
ACAA2,21,-1.6381,non-essential,1401
ACAA2,13,-0.26764,non-essential,1401
ACAT1,5,-0.12598,non-essential,1401
ACAT1,21,1.1276,non-essential,1401
ACAT1,13,0.81109,non-essential,1401
ACIN1,13,0.42948,essential,785
ACIN1,21,0.84968,essential,785
ACIN1,5,0.040014,essential,785
ACO1,5,0.15023,non-essential,1401
ACO1,21,2.4721,non-essential,1401
ACO1,13,1.6649,non-essential,1401
ACO2,21,0.7192,essential,785
ACO2,13,0.95307,essential,785
ACO2,5,0.14758,essential,785
ACTN4,13,0.87159,non-essential,1401
ACTN4,21,1.7625,non-essential,1401
ACTN4,5,0.24648,non-essential,1401
ACTR1A,13,-2.6423,essential,785
ACTR1A,5,0.0563,essential,785
ACTR1A,21,-3.7761,essential,785
ADAD1,5,0.078785,non-essential,1401
ADAD1,21,1.3932,non-essential,1401
ADAD1,13,0.53658,non-essential,1401
ADAD2,5,-0.057106,non-essential,1401
ADAD2,13,0.84254,non-essential,1401
ADAD2,21,1.323,non-essential,1401
ADAR,5,-0.12793,non-essential,1401
ADAR,13,0.26092,non-essential,1401
ADAR,21,0.64039,non-essential,1401
ADARB1,21,0.74561,non-essential,1401
ADARB1,13,0.7659,non-essential,1401
ADARB1,5,0.1226,non-essential,1401
ADARB2,5,0.13471,non-essential,1401
ADARB2,21,1.5999,non-essential,1401
ADARB2,13,1.1026,non-essential,1401
ADAT1,5,-0.091627,non-essential,1401
ADAT1,21,1.3095,non-essential,1401
ADAT1,13,0.93267,non-essential,1401
ADAT2,5,-0.72415,non-essential,1401
ADAT2,21,-1.995,non-essential,1401
ADAT2,13,-0.89043,non-essential,1401
ADAT3,21,-0.25743,non-essential,1401
ADAT3,13,0.65209,non-essential,1401
ADAT3,5,0.4451,non-essential,1401
ADD1,5,0.38168,non-essential,1401
ADD1,13,1.4459,non-essential,1401
ADD1,21,2.1803,non-essential,1401
ADD3,5,-0.048351,non-essential,1401
ADD3,21,1.5476,non-essential,1401
ADD3,13,0.94679,non-essential,1401
ADK,5,-0.0053735,non-essential,1401
ADK,21,1.0154,non-essential,1401
ADK,13,0.6096,non-essential,1401
AEN,5,0.26733,non-essential,1401
AEN,21,0.46251,non-essential,1401
AEN,13,0.3933,non-essential,1401
AFDN,5,0.090846,non-essential,1401
AFDN,21,1.9985,non-essential,1401
AFDN,13,1.2952,non-essential,1401
AFF1,5,0.1153,non-essential,1401
AFF1,13,-0.33814,non-essential,1401
AFF1,21,-0.53763,non-essential,1401
AFF2,5,-0.076226,non-essential,1401
AFF2,13,0.77234,non-essential,1401
AFF2,21,1.0111,non-essential,1401
AFF3,5,-0.39468,non-essential,1401
AFF3,21,-0.12156,non-essential,1401
AFF3,13,0.042854,non-essential,1401
AFF4,5,-0.10866,non-essential,1401
AFF4,21,0.14957,non-essential,1401
AFF4,13,0.12273,non-essential,1401
AFP,21,2.0156,non-essential,1401
AFP,5,0.31843,non-essential,1401
AFP,13,1.303,non-essential,1401
AGFG1,5,0.1227,non-essential,1401
AGFG1,21,2.1373,non-essential,1401
AGFG1,13,1.3638,non-essential,1401
AGO1,5,0.1273,non-essential,1401
AGO1,13,0.63412,non-essential,1401
AGO1,21,1.4218,non-essential,1401
AGO2,5,0.13612,non-essential,1401
AGO2,13,1.0231,non-essential,1401
AGO2,21,2.047,non-essential,1401
AGO3,5,-0.21312,non-essential,1401
AGO3,13,-0.067471,non-essential,1401
AGO3,21,0.50993,non-essential,1401
AGO4,5,-0.071019,non-essential,1401
AGO4,13,0.55809,non-essential,1401
AGO4,21,1.5162,non-essential,1401
AHCYL2,5,0.38573,non-essential,1401
AHCYL2,13,1.6872,non-essential,1401
AHCYL2,21,2.6602,non-essential,1401
AHNAK,5,0.028237,non-essential,1401
AHNAK,21,2.0196,non-essential,1401
AHNAK,13,1.1387,non-essential,1401
AIMP1,13,0.60161,non-essential,1401
AIMP1,21,1.1595,non-essential,1401
AIMP1,5,0.085601,non-essential,1401
AIMP2,5,-0.41851,non-essential,1401
AIMP2,13,-0.51738,non-essential,1401
AIMP2,21,-0.72622,non-essential,1401
AKAP1,21,-0.48297,non-essential,1401
AKAP1,13,-0.055227,non-essential,1401
AKAP1,5,-0.049529,non-essential,1401
AKAP17A,5,0.20658,non-essential,1401
AKAP17A,21,1.8582,non-essential,1401
