sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TSR3,4,0.99833,0.99838,NA,2163,0,0.001672,0.0062527,0.052586,40,4,0.17767,0.0062527,0.052586,4,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRPS7,4,0.99705,0.99715,NA,2158,0,0.0029531,0.010737,0.063451,53,4,0.12835,0.010737,0.063451,4,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ERAL1,4,0.9932,0.99331,NA,2127,0,0.006803,0.023233,0.076475,104,4,0.12835,0.023233,0.076475,4,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RACK1,4,0.83075,0.82981,NA,1514,0,0.091932,0.1993,NA,486,2,0.12598,0.1993,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DDX28,1,0.90162,0.90231,NA,1751,0,0.098385,0.098931,NA,501,1,0.34422,0.098931,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,FASTKD2,4,0.67997,0.69694,NA,1107,1,0.13848,0.25301,NA,575,2,0.094401,0.25301,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL22,4,0.78214,0.78163,NA,1357,1,0.14595,0.26131,NA,586,2,0.06807,0.26131,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS27L,4,0.95055,0.95073,NA,1932,0,0.15717,0.27396,NA,604,1,0.037469,0.27396,1,1,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL39L,3,0.69134,0.69317,NA,1132,1,0.21007,0.32317,NA,703,2,0.044896,0.32317,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL10L,4,0.87013,0.86964,NA,1654,0,0.22019,0.34452,NA,721,2,0.076075,0.34452,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRPS11,4,0.83406,0.83342,NA,1529,0,0.2303,0.35575,NA,743,2,0.062527,0.35575,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,KRI1,4,0.21981,0.34789,NA,538,2,0.23044,0.35591,NA,744,1,-0.088716,0.34789,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL3L,4,0.59634,0.64208,NA,946,1,0.25851,0.38749,NA,792,2,0.082692,0.38749,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PRKDC,3,0.59388,0.60451,NA,941,1,0.26621,0.37263,NA,806,1,-0.043997,0.60451,1,1,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UTP25,3,0.88607,0.88654,NA,1703,0,0.27134,0.37562,NA,817,1,0.051352,0.37562,1,1,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MPHOSPH10,4,0.017526,0.051002,0.069171,321,3,0.27373,0.40452,NA,822,1,-0.9777,0.051002,0.069171,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DHX30,4,0.85579,0.85527,NA,1606,0,0.28478,0.41703,NA,842,2,0.074137,0.41703,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS19BP1,4,0.25399,0.38554,NA,569,2,0.30311,0.43753,NA,885,1,-0.083872,0.38554,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL26L1,4,0.3822,0.52495,NA,748,2,0.30917,0.44418,NA,900,1,-0.068376,0.52495,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOP9,4,0.81211,0.81087,NA,1454,0,0.3301,0.4668,NA,936,2,0.056687,0.4668,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS4Y2,4,0.051492,0.12239,0.145529,372,3,0.38202,0.51864,NA,1025,1,-0.22764,0.12239,0.145529,3,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRM2,4,0.32681,0.46443,NA,662,2,0.38755,0.52137,NA,1029,1,-0.074199,0.46443,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS4Y1,4,0.27977,0.41352,NA,591,2,0.40867,0.53144,NA,1043,1,-0.05684,0.41352,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL22L1,4,0.27377,0.40712,NA,584,2,0.61383,0.64533,NA,1236,1,-0.097836,0.40712,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RRP36,4,0.068857,0.15628,NA,403,2,0.63604,0.66061,NA,1259,1,-0.13518,0.15628,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPP40,3,0.76088,0.76186,NA,1288,0,0.68046,0.68245,NA,1330,0,0.040597,0.68245,1,0,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRPL1,4,0.68865,0.70302,NA,1125,1,0.69098,0.70051,NA,1343,1,-0.0087549,0.70302,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL36AL,4,0.70827,0.71796,NA,1169,1,0.69446,0.7032,NA,1348,1,0.0055345,0.7032,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL36A,4,0.20944,0.3366,NA,526,2,0.70753,0.71378,NA,1367,1,-0.078441,0.3366,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,HEATR1,4,0.01349,0.042111,0.058766,313,3,0.78835,0.78753,NA,1492,0,-0.45961,0.042111,0.058766,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SNU13,3,0.68844,0.69021,NA,1123,1,0.81229,0.81304,NA,1523,0,-0.024236,0.69021,1,1,2 60S biogenesis,notsig
