sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,SNU13,3,0.91884,0.91943,NA,1898,0,0.0021536,0.0064384,NA,38,2,0.9337,0.0064384,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRPS11,4,0.98961,0.98963,NA,2138,0,0.010386,0.034497,0.1434,105,4,0.24369,0.034497,0.1434,4,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRPL1,4,0.43801,0.58457,NA,976,2,0.010981,0.0363,NA,109,2,-0.0043287,0.58457,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NPM1,4,0.53718,0.63079,NA,1070,1,0.016719,0.05217,0.148706,157,3,0.34413,0.05217,0.148706,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,ERAL1,4,0.91205,0.9124,NA,1877,0,0.034379,0.089972,NA,237,2,0.29734,0.089972,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,ABT1,4,0.044515,0.11076,0.153126,299,3,0.035186,0.091598,NA,241,1,-1.0873,0.11076,0.153126,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NGDN,4,0.0010865,0.0041964,0.011709,142,3,0.04859,0.11824,NA,310,1,-1.1301,0.0041964,0.011709,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRM2,4,0.34334,0.48652,NA,758,2,0.069212,0.15816,NA,378,2,0.06218,0.15816,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL36A,4,0.70729,0.72705,NA,1340,1,0.07125,0.16198,0.230806,388,3,0.30988,0.16198,0.230806,3,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS27L,4,0.73674,0.74812,NA,1398,1,0.08116,0.1805,NA,438,1,-0.022077,0.74812,1,1,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,TSR3,4,0.42594,0.57228,NA,938,1,0.089052,0.19464,NA,474,2,0.19702,0.19464,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRPL20,4,0.97748,0.97787,NA,2097,0,0.10494,0.22256,0.246747,524,3,0.21152,0.22256,0.246747,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL26L1,4,0.94761,0.94771,NA,1986,0,0.13245,0.26524,NA,611,2,0.17286,0.26524,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,LSM6,4,0.3287,0.47098,NA,729,2,0.15707,0.29096,NA,658,1,-0.20855,0.47098,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,DHX30,4,0.39945,0.54475,NA,875,2,0.2221,0.35898,NA,777,2,0.059234,0.35898,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRPS7,4,0.84367,0.84313,NA,1672,0,0.33179,0.47369,NA,966,2,0.12444,0.47369,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NOP9,4,0.034983,0.091697,0.133551,278,3,0.35173,0.4946,NA,996,1,-0.43531,0.091697,0.133551,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPP40,3,0.66504,0.67107000000000006,NA,1257,1,0.35295,0.45284,NA,998,1,-0.11741,0.67107000000000006,1,1,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,DDX28,1,0.64393,0.6447,NA,1227,0,0.35607,0.35589,NA,1008,0,0.18377,0.35589,1,0,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL22,4,0.65733,0.69467,NA,1248,1,0.35866,0.50159,NA,1013,2,-0.023074,0.69467,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS4Y1,4,0.41158,0.55741,NA,900,1,0.36904,0.51275,NA,1037,2,0.0027775,0.51275,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,UTP23,4,0.23434,0.37293,NA,580,1,0.4011,0.54643,NA,1092,1,-0.06342,0.37293,1,1,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NOC2L,4,0.0012168,0.0046855,0.012805,146,3,0.43425,0.58107,NA,1167,1,-1.227,0.0046855,0.012805,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,SRFBP1,4,0.030395,0.08224,0.12336,271,3,0.43761,0.58267,NA,1173,1,-0.88701,0.08224,0.12336,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL39,4,0.024097,0.068766,0.108022,259,3,0.45239,0.58886,NA,1181,1,-0.71296,0.068766,0.108022,3,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,PRKDC,3,0.59957,0.61727,NA,1158,1,0.47173,0.52509,NA,1197,1,0.093921,0.52509,1,1,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL22L1,4,0.82725,0.82606,NA,1627,0,0.47242,0.59781,NA,1198,1,0.020353,0.59781,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RRP36,4,0.0092782,0.031037,NA,220,2,0.5133,0.6166,NA,1228,1,-0.54634,0.031037,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,FASTKD2,4,0.77833,0.78106,NA,1498,1,0.52736,0.62318,NA,1238,1,0.0091809,0.62318,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,UTP25,3,0.15104,0.24946,NA,487,2,0.56568,0.5898,NA,1265,1,-0.25808,0.24946,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NOB1,4,0.069636,0.15923,0.201052,342,3,0.60051,0.66056,NA,1303,1,-0.36604,0.15923,0.201052,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS4Y2,4,0.4367,0.5833,NA,968,1,0.6247,0.67404,NA,1341,1,0.0106,0.67404,1,1,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS19BP1,4,0.035352,0.092381,0.133551,281,3,0.62627,0.67492,NA,1345,1,-0.40461,0.092381,0.133551,3,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NOL9,4,0.013158,0.04303,0.073372,237,3,0.6548,0.69114,NA,1387,1,-0.45479,0.04303,0.073372,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL10L,4,0.7908,0.79183,NA,1536,1,0.66956,0.70031,NA,1408,1,-0.014794,0.79183,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPLP1,4,0.0014513,0.0054419,0.014067,154,3,0.69937,0.72016,NA,1450,1,-1.6718,0.0054419,0.014067,3,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MPHOSPH10,3,0.19386,0.30466,NA,529,2,0.7007,0.70302,NA,1455,1,-0.8387,0.30466,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,TSR1,4,0.0018313,0.0067464,0.016314,164,3,0.7736,0.77656,NA,1562,1,-0.98009,0.0067464,0.016314,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL3L,4,0.89563,0.89595,NA,1819,0,0.78934,0.79008,NA,1589,1,0.074598,0.79008,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,GTF3A,4,0.38569,0.5302,NA,840,2,0.78963,0.79029,NA,1590,1,-0.075894,0.5302,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,DDX52,4,0.26872,0.40875,NA,629,2,0.79152,0.79209,NA,1594,1,-0.14116,0.40875,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL36AL,4,0.88956,0.88964,NA,1803,0,0.81039,0.80925,NA,1628,1,-0.011609,0.88964,1,0,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPF2,4,2.9773e-4,0.0012297,0.004753,101,3,0.8138,0.81274,NA,1635,1,-1.1212,0.0012297,0.004753,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL41,4,0.25368,0.39338,NA,608,2,0.82403,0.8228,NA,1657,0,-0.2009,0.39338,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NHP2,4,0.015134,0.049086,0.080931,245,3,0.88444,0.88417,NA,1776,0,-0.45525,0.049086,0.080931,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL14,1,0.09132,0.091702,NA,395,1,0.90868,0.90946,NA,1818,0,-2.3092,0.091702,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,ZNHIT6,4,0.26237,0.40222,NA,618,2,0.91731,0.91754,NA,1836,0,-0.38135,0.40222,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL29,3,0.18138,0.2889,NA,520,2,0.92232,0.92297,NA,1845,0,-0.49128,0.2889,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS27,4,0.021514,0.063168,0.100414,254,3,0.93168,0.93155,NA,1865,0,-0.86528,0.063168,0.100414,3,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,FCF1,4,0.0029346,0.01066,0.024873,171,3,0.93679,0.93688,NA,1872,0,-1.1548,0.01066,0.024873,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,WDR12,4,4.1816e-4,0.0016781,0.005978,111,3,0.93803,0.93818,NA,1876,0,-1.3263,0.0016781,0.005978,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPS26,4,0.0068869,0.023509,0.044456,211,3,0.93843,0.9386,NA,1878,0,-1.3536,0.023509,0.044456,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RACK1,4,0.051994,0.12558,0.171013,307,3,0.9389,0.93907,NA,1881,0,-0.33379,0.12558,0.171013,3,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL39L,3,0.073066999999999993,0.1459,NA,351,2,0.94748,0.94806,NA,1901,0,-0.33665,0.1459,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,MRTO4,4,0.0082933,0.027894,0.051288,216,3,0.95082,0.95101,NA,1906,0,-0.75805,0.027894,0.051288,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RRP15,3,0.0078725,0.021657,0.041345,214,3,0.9632,0.9641,NA,1930,0,-1.6383,0.021657,0.041345,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RSL1D1,4,0.0035131,0.012603,0.027782,180,3,0.96786,0.96816,NA,1936,0,-1.027,0.012603,0.027782,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RIOK1,4,0.0060173,0.020656,0.040274,205,3,0.97118,0.97155,NA,1943,0,-0.80886,0.020656,0.040274,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RRP7A,4,0.036405,0.094515,0.135373,283,3,0.97133,0.97173,NA,1945,0,-0.7658,0.094515,0.135373,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,TSR2,4,0.013426,0.043859,0.074198,238,3,0.97247,0.97277,NA,1948,0,-0.61312,0.043859,0.074198,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,RPL12,4,0.031616,0.084926,0.126912,272,3,0.97313,0.97345,NA,1949,0,-1.0077,0.084926,0.126912,3,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_supernatant_rep1,heavy,supernatant,rep1,NIFK,4,0.010676,0.035408,0.062512,228,3,0.97462,0.9751,NA,1951,0,-1.2397,0.035408,0.062512,3,2 60S biogenesis,notsig
