sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,ISY1,4,1,1,NA,2186,0,3.0062e-7,2.2646e-6,6.41e-4,1,4,1.7721,2.2646e-6,6.41e-4,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL21,4,1,1,NA,2185,0,1.1417e-6,6.7939e-6,9.61e-4,2,4,0.87458,6.7939e-6,9.61e-4,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,DDX54,4,1,1,NA,2184,0,2.6421e-6,1.1323e-5,0.001068,3,4,0.57821,1.1323e-5,0.001068,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,EIF6,4,1,1,NA,2183,0,4.6433e-6,2.944e-5,0.001373,4,4,0.86044,2.944e-5,0.001373,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RSL1D1,4,1,1,NA,2182,0,4.834e-6,2.944e-5,0.001373,5,4,0.65052,2.944e-5,0.001373,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,GNL2,4,0.99982,0.99983,NA,2170,0,5.0771e-6,2.944e-5,0.001373,6,4,0.81136,2.944e-5,0.001373,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PES1,4,0.99999,1,NA,2181,0,5.8213e-6,3.397e-5,0.001373,7,4,0.68096,3.397e-5,0.001373,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,DDX24,4,0.83214,0.83132,NA,1712,0,1.205e-5,5.6616e-5,0.002003,8,3,0.71812,5.6616e-5,0.002003,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RBM12,4,0.99998,0.99999,NA,2180,0,1.7812e-5,6.5674e-5,0.002065,9,4,0.7308,6.5674e-5,0.002065,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL30,4,0.99998,0.99998,NA,2179,0,2.4677e-5,8.8321e-5,0.002499,10,4,0.59992,8.8321e-5,0.002499,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL37A,4,0.99997,0.99997,NA,2178,0,3.419e-5,1.155e-4,0.002971,11,4,0.48755,1.155e-4,0.002971,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL34,4,0.99995,0.99996,NA,2177,0,4.5435e-5,1.472e-4,0.003204,12,4,0.54619,1.472e-4,0.003204,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL10,4,0.99995,0.99996,NA,2176,0,4.5957e-5,1.472e-4,0.003204,13,4,0.66619,1.472e-4,0.003204,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SDAD1,4,0.99993,0.99994,NA,2175,0,6.6886e-5,2.3326e-4,0.004715,14,4,0.46884,2.3326e-4,0.004715,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NOL8,4,0.99991,0.99993,NA,2174,0,8.6431e-5,3.1026e-4,0.005853,15,4,0.52654,3.1026e-4,0.005853,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,URB1,4,0.9943,0.99442,NA,2118,0,1.0545e-4,3.6914e-4,0.006529,16,4,0.67662,3.6914e-4,0.006529,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PPAN,4,0.99989,0.99989,NA,2173,0,1.1407e-4,4.099e-4,0.006824,17,4,0.81978,4.099e-4,0.006824,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SNW1,4,0.79449,0.79359,NA,1626,0,1.2359e-4,4.6425e-4,0.007252,18,3,0.9354,4.6425e-4,0.007252,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,ISG20L2,4,0.99978,0.9998,NA,2169,0,1.2773e-4,4.869e-4,0.007252,19,4,1.0447,4.869e-4,0.007252,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPLP0,4,0.99986,0.99987,NA,2172,0,1.3507e-4,5.2313e-4,0.007402,20,4,0.48003,5.2313e-4,0.007402,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL32,4,0.99919,0.99928,NA,2163,0,1.4219e-4,5.5937e-4,0.007538,21,4,0.66744,5.5937e-4,0.007538,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,WDR12,4,0.99985,0.99985,NA,2171,0,1.536e-4,6.1825e-4,0.007953,22,4,0.60993,6.1825e-4,0.007953,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL26,4,0.99799,0.9981,NA,2146,0,1.6418e-4,6.4995e-4,0.007997,23,4,0.75111000000000006,6.4995e-4,0.007997,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL24,4,0.99722,0.99731,NA,2138,0,1.7771e-4,6.9977e-4,0.008251,24,4,0.87793,6.9977e-4,0.008251,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL17-C18ORF32,4,0.89582,0.89607,NA,1876,0,2.2669e-4,9.3982e-4,0.010373,25,3,0.9332,9.3982e-4,0.010373,3,1 60S ribosome
