sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3B5,4,0.9092,0.90952,NA,1782,0,0.0033238,0.011932,0.063451,59,3,0.46384,0.011932,0.063451,3,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,FARS2,3,0.99602,0.99622,NA,2146,0,0.0039769,0.011303,0.063451,70,3,0.11752,0.011303,0.063451,3,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,POLR2J3,4,0.95158,0.9519,NA,1938,0,0.0057257,0.019745,0.07361,90,3,0.43931,0.019745,0.07361,3,1 RNA polymerase II,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3A1,4,0.95979,0.96005,NA,1973,0,0.0058399,0.020049,NA,91,1,0.04768,0.020049,1,1,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,VARS2,4,0.81398,0.81281,NA,1458,0,0.011929,0.037197,0.088409,147,3,0.16613,0.037197,0.088409,3,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3B3,3,0.97292,0.97365,NA,2026,0,0.012415,0.033007,0.084017,150,3,0.25259,0.033007,0.084017,3,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3B6,4,0.98496,0.98509,NA,2085,0,0.022767,0.061546,0.114051,207,3,0.21367,0.061546,0.114051,3,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,POLR2F,4,0.7998,0.79886,NA,1408,0,0.026515,0.069816,NA,223,2,0.17934,0.069816,1,2,1 RNA polymerase II,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RARS2,4,0.19404,0.32,NA,519,2,0.038828,0.095747,NA,277,2,0.051308,0.095747,1,2,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TARS2,4,0.96426,0.96468,NA,1990,0,0.068693,0.15566,0.186343,389,3,0.11097,0.15566,0.186343,3,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3B2,4,0.33608,0.4744,NA,682,1,0.071808,0.16164,0.18756,399,3,0.17578,0.16164,0.18756,3,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SARS1,3,0.60115,0.61039,NA,955,1,0.072114,0.13578,NA,402,1,-0.076644,0.61039,1,1,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,LARS2,4,0.61268,0.65193,NA,977,1,0.072173,0.16239,NA,403,1,0.035522,0.16239,1,1,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EIF3K,4,0.90835,0.90875,NA,1777,0,0.074159,0.16615,NA,414,2,0.10127,0.16615,1,2,7 EIF3,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,POLR2G,4,0.92421,0.92409,NA,1834,0,0.077013,0.17163,0.19019,426,3,0.25112,0.17163,0.19019,3,1 RNA polymerase II,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,POLR2H,4,0.74353,0.74666,NA,1245,1,0.081993,0.18094,0.195222,445,3,0.12286,0.18094,0.195222,3,1 RNA polymerase II,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PTGES3L-AARSD1,4,0.80753,0.80637,NA,1436,0,0.08731,0.19072,NA,465,2,0.076585,0.19072,1,2,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PHF5A,4,0.64063,0.66984,NA,1020,1,0.087519,0.1911,0.199064,467,3,0.14276,0.1911,0.199064,3,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EIF3G,4,0.0016277,0.0061032,0.012494,212,3,0.11223,0.22346,NA,523,1,-0.96781,0.0061032,0.012494,3,7 EIF3,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DARS2,4,0.97742,0.9778,NA,2050,0,0.13043,0.244,NA,557,2,0.093616,0.244,1,2,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,WARS1,4,0.70284,0.71387,NA,1157,1,0.17863,0.2981,NA,647,2,0.097429,0.2981,1,2,5 tRNA synthetases,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SF3B4,3,0.33641,0.42409,NA,683,1,0.1845,0.28964,NA,654,1,0.15127,0.28964,1,1,0 Splicing Factor 3a/b,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,POLR2L,3,0.75612,0.75751,NA,1277,0,0.19427,0.30236,NA,674,1,0.14341,0.30236,1,1,1 RNA polymerase II,notsig
