treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day13,0.6237,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day7,0.1452,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day13,-1.1488,0.314416,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day7,-0.056287,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day13,-5.7882,0.026378,7 RNA polymerase II
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day7,-4.4197,8.7e-4,7 RNA polymerase II
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day13,-0.33381,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day7,-0.0020638,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2F,0.17934,1,0.069816,day13,-6.6344,0.006165,7 RNA polymerase II
heavy,mono,rep1,POLR2F,0.17934,1,0.069816,day7,-3.8858,1.6e-4,7 RNA polymerase II
heavy,mono,rep1,EIF3K,0.10127,1,0.16615,day13,0.35817,NA,5 EIF3
heavy,mono,rep1,EIF3K,0.10127,1,0.16615,day7,0.43742,NA,5 EIF3
heavy,mono,rep1,POLR2G,0.25112,0.19019,0.17163,day13,-3.663,0.050867,7 RNA polymerase II
heavy,mono,rep1,POLR2G,0.25112,0.19019,0.17163,day7,-2.4727,0.003181,7 RNA polymerase II
heavy,mono,rep1,POLR2H,0.12286,0.195222,0.18094,day13,-4.7986,0.067009,7 RNA polymerase II
heavy,mono,rep1,POLR2H,0.12286,0.195222,0.18094,day7,-2.6963,0.001217,7 RNA polymerase II
heavy,mono,rep1,DDX28,0.34422,1,0.098931,day13,-3.2573,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX28,0.34422,1,0.098931,day7,-1.0819,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3G,-0.96781,0.012494,0.0061032,day13,-4.5035,0.079762,5 EIF3
heavy,mono,rep1,EIF3G,-0.96781,0.012494,0.0061032,day7,-2.0911,0.00609,5 EIF3
heavy,mono,rep1,FASTKD2,0.094401,1,0.25301,day13,-0.17223,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,FASTKD2,0.094401,1,0.25301,day7,-0.16396,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL22,0.06807,1,0.26131,day13,-3.1562,0.049747,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL22,0.06807,1,0.26131,day7,-0.90789,0.047045,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27L,0.037469,1,0.27396,day13,1.1354,0.11733,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27L,0.037469,1,0.27396,day7,0.26284,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2L,0.14341,1,0.30236,day13,-7.1582,0.011473,7 RNA polymerase II
heavy,mono,rep1,POLR2L,0.14341,1,0.30236,day7,-3.5732,0.003805,7 RNA polymerase II
heavy,mono,rep1,RPL39L,0.044896,1,0.32317,day13,-0.017069,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39L,0.044896,1,0.32317,day7,0.25393,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL10L,0.076075,1,0.34452,day13,0.086765,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL10L,0.076075,1,0.34452,day7,0.010375,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS11,0.062527,1,0.35575,day13,0.49945,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS11,0.062527,1,0.35575,day7,0.82012,0.108083,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,KRI1,-0.088716,1,0.34789,day13,-3.4001,0.058371,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,KRI1,-0.088716,1,0.34789,day7,-0.53689,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2A,-0.066344,1,0.81649,day13,-5.3529,0.018438,7 RNA polymerase II
heavy,mono,rep1,POLR2A,-0.066344,1,0.81649,day7,-4.9288,8.7e-4,7 RNA polymerase II
heavy,mono,rep1,RPL3L,0.082692,1,0.38749,day13,0.79265,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL3L,0.082692,1,0.38749,day7,0.082458,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PRKDC,-0.043997,1,0.60451,day13,0.18659,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PRKDC,-0.043997,1,0.60451,day7,0.076179,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP25,0.051352,1,0.37562,day13,-0.91071,0.173315,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP25,0.051352,1,0.37562,day7,-0.20176,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MPHOSPH10,-0.9777,0.069171,0.051002,day13,-3.0297,0.053416,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MPHOSPH10,-0.9777,0.069171,0.051002,day7,-1.9793,0.123887,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2D,0.10009,1,0.41131,day13,-5.6488,0.011404,7 RNA polymerase II
heavy,mono,rep1,POLR2D,0.10009,1,0.41131,day7,-4.4604,3.49e-4,7 RNA polymerase II
heavy,mono,rep1,DHX30,0.074137,1,0.41703,day13,-1.939,0.32928,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DHX30,0.074137,1,0.41703,day7,-0.060839,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS19BP1,-0.083872,1,0.38554,day13,-1.0619,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS19BP1,-0.083872,1,0.38554,day7,-0.39522,0.27262,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL26L1,-0.068376,1,0.52495,day13,0.339,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL26L1,-0.068376,1,0.52495,day7,-0.050216,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J2,-0.14404,1,0.32717,day13,-0.53432,NA,7 RNA polymerase II
heavy,mono,rep1,POLR2J2,-0.14404,1,0.32717,day7,-0.55631,NA,7 RNA polymerase II
heavy,mono,rep1,NOP9,0.056687,1,0.4668,day13,-1.4632,0.094576,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOP9,0.056687,1,0.4668,day7,-0.052396,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2K,0.17252,1,0.43094,day13,-4.9314,0.023085,7 RNA polymerase II
heavy,mono,rep1,POLR2K,0.17252,1,0.43094,day7,-4.3783,0.001214,7 RNA polymerase II
heavy,mono,rep1,RPS4Y2,-0.22764,0.145529,0.12239,day13,0.75867,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4Y2,-0.22764,0.145529,0.12239,day7,0.14105,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRM2,-0.074199,1,0.46443,day13,-1.4664,0.08916,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRM2,-0.074199,1,0.46443,day7,0.33046,0.28828,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4Y1,-0.05684,1,0.41352,day13,1.5113,0.039859,"2 40S ribosome 
& biogenesis"
