sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,day,isoform,sig
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B1,4,0.99988,0.99988,NA,2186,0,1.2384e-4,4.6425e-4,0.15181,1,4,2.341,3,e2_skipped,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,AQR,4,1,1,NA,2186,0,3.8079e-11,2.2646e-6,1.02e-4,1,4,2.2406,3,i2_retained,2
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B5,4,1,1,NA,2186,0,1.5045e-8,2.2646e-6,1.2e-5,1,4,4.7957,5,e2_skipped,2
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,AQR,4,1,1,NA,2186,0,1.0445e-11,2.2646e-6,4.01e-4,1,4,2.8201,5,i1_retained,2
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,AQR,4,1,1,NA,2186,0,5.7361e-13,2.2646e-6,4.2e-5,1,4,3.5057,5,i2_retained,2
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B5,4,1,1,NA,2186,0,1.8201e-10,2.2646e-6,1.8e-4,1,4,5.2551,7,e2_skipped,2
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,AQR,4,1,1,NA,2186,0,1.0186e-9,2.2646e-6,2.07e-4,1,4,3.1955,7,i1_retained,2
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B1,4,1,1,NA,2185,0,1.5647e-7,2.2646e-6,1.2e-5,2,4,3.7305,5,e2_skipped,2
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,AQR,4,1,1,NA,2185,0,1.5075e-9,2.2646e-6,4.8e-5,2,4,3.7458,7,i2_retained,2
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B5,4,0.99998,0.99999,NA,2183,0,2.6682e-6,1.1323e-5,0.001336,3,4,1.692,5,i1_retained,2
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B2,4,1,1,NA,2184,0,8.2019e-7,2.2646e-6,1.2e-5,4,4,3.4202,5,e2_skipped,2
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B1,4,0.99658,0.99666,NA,2162,0,7.2042e-7,2.2646e-6,1.8e-4,5,4,3.8317,7,e2_skipped,2
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B2,4,0.99298,0.99306,NA,2154,0,1.8541e-6,6.7939e-6,3.85e-4,6,4,3.4854,7,e2_skipped,2
