sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,A1CF,4,0.70442,0.73614,NA,1487,1,0.23094,0.39061,NA,852,2,0.45044,0.39061,1,2,NTC,Other,10,1
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,A1CF,4,0.059134,0.14089,NA,350,2,0.38378,0.5388,NA,1018,1,-0.36144,0.14089,1,2,PTC,Other,10,1
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AAR2,4,0.94359,0.94377,NA,2012,0,0.040271,0.10783,0.224781,284,3,0.4123,0.10783,0.224781,3,NTC,Other,10,2
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AAR2,4,0.54882,0.66356,NA,1307,1,0.91647,0.91733,NA,1887,0,-0.1099,0.66356,1,1,PTC,Other,10,2
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AARS1,4,0.69399,0.72987,NA,1469,1,0.071917,0.16747,NA,410,2,0.4493,0.16747,1,2,NTC,tRNA metabolism,3,3
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AARS1,4,0.94133,0.94189,NA,1946,0,1.5272e-4,6.0919e-4,0.008455,33,3,2.1286,6.0919e-4,0.008455,3,PTC,tRNA metabolism,3,3
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AARS2,4,0.97314,0.97346,NA,2099,0,0.021546,0.068358,0.200036,180,3,0.90432,0.068358,0.200036,3,NTC,Other,10,4
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AARS2,4,0.78688,0.7966,NA,1610,1,0.57076,0.68373,NA,1320,1,-0.031824,0.7966,1,1,PTC,Other,10,4
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AARSD1,4,0.59237,0.67662,NA,1340,1,0.041884,0.11106,0.226137,292,3,0.48207,0.11106,0.226137,3,NTC,Other,10,5
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AARSD1,4,0.91818,0.9191,NA,1884,0,0.3516,0.50766,NA,963,2,0.16118,0.50766,1,2,PTC,Other,10,5
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AATF,3,0.75863,0.75981,NA,1561,0,0.053407,0.12686,NA,347,2,0.792,0.12686,1,2,NTC,Other,10,6
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AATF,4,0.99175,0.99192,NA,2090,0,0.008253,0.027952,0.092183,151,4,1.4421,0.027952,0.092183,4,PTC,Other,10,6
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ABCE1,4,0.38238,0.5305,NA,1045,2,0.93999,0.94012,NA,1959,0,-0.33027,0.5305,1,2,NTC,Other,10,7
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ABCE1,4,0.16685,0.32109,NA,695,2,0.60607,0.69903,NA,1351,1,-0.23014,0.32109,1,2,PTC,Other,10,7
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ABCF1,4,0.11127,0.2346,0.280072,520,3,0.93345,0.9335,NA,1945,0,-0.5837,0.2346,0.280072,3,NTC,Other,10,8
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ABCF1,4,0.86658,0.86728,NA,1764,0,0.012259,0.040585,0.115778,175,3,1.0181,0.040585,0.115778,3,PTC,Other,10,8
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ABT1,3,0.4535,0.53142,NA,1193,1,0.26617,0.39816,NA,918,1,-0.006065,0.53142,1,1,NTC,Other,10,9
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ABT1,3,0.41849,0.51214,NA,1120,1,0.26871,0.39837,NA,830,2,0.30787,0.39837,1,2,PTC,Other,10,9
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACAA2,4,0.97633,0.97679,NA,2106,0,0.02367,0.074541,0.202808,197,4,0.69684,0.074541,0.202808,4,NTC,Other,10,10
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACAA2,3,0.67551,0.68383,NA,1449,1,0.50189,0.56888,NA,1238,1,0.10391,0.56888,1,1,PTC,Other,10,10
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACAT1,4,0.58283,0.6722,NA,1330,1,0.031713,0.091498,NA,229,2,0.028097,0.091498,1,2,NTC,Other,10,11
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACAT1,4,0.27524,0.42835,NA,865,2,0.58334,0.68914,NA,1333,1,-0.33019,0.42835,1,2,PTC,Other,10,11
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACIN1,3,0.6301,0.64863,NA,1388,1,0.27323,0.4065,NA,933,2,0.32654,0.4065,1,2,NTC,Other,10,12
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACIN1,4,0.066326,0.15443,NA,373,1,0.2882,0.44617,NA,862,2,-0.035467,0.15443,1,1,PTC,Other,10,12
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACO1,4,0.39716,0.54528,NA,1083,2,0.45203,0.60106,NA,1252,2,-0.076131,0.54528,1,2,NTC,Other,10,13
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACO1,4,0.99443,0.99455,NA,2104,0,0.0055669,0.019238,0.072143,131,4,0.47143,0.019238,0.072143,4,PTC,Other,10,13
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACO2,3,0.80193,0.8027,NA,1641,0,0.87172,0.87251,NA,1809,0,-0.077226,0.8027,1,0,NTC,Other,10,14
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACO2,3,0.84771,0.84728,NA,1724,0,0.70786,0.71417,NA,1473,1,0.042183,0.71417,1,1,PTC,Other,10,14
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACTN4,4,0.081769,0.18339,NA,427,1,0.15975,0.31574,0.326235,707,3,0.24843,0.31574,0.326235,3,NTC,Other,10,15
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACTN4,3,0.74695,0.74791,NA,1555,1,0.23548,0.35893,NA,779,2,0.44107,0.35893,1,2,PTC,Other,10,15
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ACTR1A,3,0.90138,0.90208,NA,1893,0,0.80781,0.80871,NA,1669,0,0.13506,0.80871,1,0,NTC,Other,10,16
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ACTR1A,4,0.44329,0.59386,NA,1178,2,0.86546,0.8662,NA,1762,0,-0.10333,0.59386,1,2,PTC,Other,10,16
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAD1,4,0.064415,0.15166,0.237981,366,3,0.022864,0.072344,NA,191,1,-0.59475,0.15166,0.237981,3,NTC,Other,10,17
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADAD1,4,0.90769,0.90868,NA,1859,0,0.09803,0.21296,NA,461,2,0.50447,0.21296,1,2,PTC,Other,10,17
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAD2,4,0.70727,0.73783,NA,1491,1,0.21107,0.37187,NA,815,2,0.48546,0.37187,1,2,NTC,Other,10,18
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADAD2,4,0.20945,0.36274,NA,760,2,0.23246,0.39212,NA,770,2,0.014164,0.39212,1,2,PTC,Other,10,18
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAR,4,0.83399,0.83372,NA,1703,1,0.35773,0.51094,NA,1099,2,0.12712,0.51094,1,2,NTC,Other,10,19
