sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GCN1,4,1,1,NA,2186,0,7.7556e-10,2.2646e-6,6.5e-4,1,4,0.64232,2.2646e-6,6.5e-4,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PDIA4,4,0.020146,0.058634,NA,140,2,1.5873e-4,6.3636e-4,NA,2,2,0.2664,6.3636e-4,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTCD2,4,0.047159,0.11392,NA,249,1,2.3194e-4,9.4888e-4,NA,3,1,0.17335,9.4888e-4,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TNPO3,4,0.90130999999999994,0.90228,NA,1960,0,3.1224e-4,0.0012342,0.120485,4,3,0.39844,0.0012342,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF3A,3,0.60737,0.61779,NA,1425,1,5.2183e-4,0.0016509,NA,5,2,0.75275,0.0016509,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NXF2B,4,0.99816,0.99824,NA,2182,0,6.4319e-4,0.002507,0.120485,6,4,0.36909,0.002507,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CISD2,4,0.54955,0.63002,NA,1348,1,6.634e-4,0.0025885,0.120485,7,3,0.27735,0.0025885,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NOL7,4,0.6555,0.69063,NA,1492,1,6.8075e-4,0.0026383,0.120485,8,3,0.27046,0.0026383,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF5A2,4,0.99932,0.99942,NA,2185,0,6.8429e-4,0.0026609,0.120485,9,4,0.27492,0.0026609,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,FASTKD1,4,0.99883,0.99887,NA,2184,0,7.6618e-4,0.0029463,0.120485,10,4,0.39405,0.0029463,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,METTL5,4,0.059182,0.13714,NA,293,1,8.6424e-4,0.0033585,0.120485,11,3,0.30337,0.0033585,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,POLR2F,4,0.78988,0.792,NA,1733,1,0.0011593,0.0044455,NA,12,1,0.088569,0.0044455,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PHF3,4,0.99866,0.99874,NA,2183,0,0.0013396,0.0051022,0.162704,13,4,0.29681,0.0051022,0.162704,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RBM25,4,0.28183,0.42102,NA,939,2,0.0016228,0.0061258,NA,14,2,0.21384,0.0061258,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NKAP,4,0.26662,0.40475,NA,904,2,0.0016933,0.0064021,NA,15,2,0.13401,0.0064021,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SETD1A,4,0.99529,0.99541,NA,2176,0,0.0017329,0.0065154,0.163192,16,4,0.31721,0.0065154,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTBP3,4,0.99808,0.99819,NA,2181,0,0.0019186,0.0072174,0.163192,17,4,0.29844,0.0072174,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,METTL2B,4,0.6148,0.66595,NA,1434,1,0.002086,0.0077745,0.163192,18,3,0.13101,0.0077745,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SMAD9,4,0.9723,0.97232,NA,2117,0,0.0024462,0.0091152,0.163192,19,3,0.19794,0.0091152,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,USO1,4,0.96935,0.96928,NA,2108,0,0.0025012,0.0092329,0.163192,20,3,0.39075,0.0092329,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CCT7,4,0.084571,0.18533,0.231448,407,3,0.0025492,0.0093779,NA,21,1,-0.30237000000000003,0.18533,0.231448,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,KHSRP,4,0.94361,0.94421,NA,2046,0,0.002727,0.0099893,NA,22,2,0.13006,0.0099893,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CALR3,4,0.99712,0.99724,NA,2180,0,0.0028808,0.010524,0.163192,23,4,0.14815,0.010524,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CHD3,4,0.84778,0.84835,NA,1852,0,0.0029675,0.010823,0.163192,24,3,0.29254,0.010823,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GCFC2,4,0.9739,0.97396,NA,2121,0,0.0033646,0.012172,NA,25,2,0.21828,0.012172,1,2
