type,day,gene,A,B
grna,day 13,RPS24,-4.3061,-3.1134
total,day 13,PSMB2,-3.9272,-5.5097
grna,day 21,RPS24,-3.8359,-2.3151
total,day 21,RPS24,-5.5522,-4.7609
grna,day 5,RPL9,-0.54469,-2.6879
total,day 5,POLR2F,-1.8579,-2.6193
grna,day 13,PSMD7,-0.44701,-3.7991
total,day 13,RPL9,-5.7429,-6.2811
grna,day 21,LSM3,-0.79421,-3.241
total,day 21,EIF2B3,-3.9503,-5.0381
grna,day 5,SRSF3,-1.9154,-2.4687
total,day 5,POLR2A,-3.8051,-3.3969
grna,day 13,SNRNP25,-3.3381,0.0089195
total,day 13,USP39,-5.1182,-4.359
grna,day 21,SUPT6H,-3.4469,-1.2494
total,day 21,RPL9,-4.6427,-5.4204
grna,day 5,EIF2S3,-2.1476,0.034231
total,day 5,PSMC2,-2.376,-2.8251
grna,day 13,ADAT2,-0.60145,0.16542
total,day 13,PRPF19,-5.0819,-6.3138
grna,day 21,ADAT2,-1.9379,0.32898
total,day 21,RPL6,-4.4756,-2.7901
grna,day 5,NUTF2,-5.7233e-4,-1.4222
total,day 5,SUPT5H,-2.5442,-2.5121000000000002
grna,day 13,NHP2,-2.9611,-1.098
total,day 13,RPL8,-5.6742,-6.2926
grna,day 21,POP1,-2.7983,-3.1426
total,day 21,RPS3,-3.8756,-4.3913
grna,day 5,CAND1,0.39478,-2.5676
total,day 5,PSMA6,-2.6451,-2.8636
grna,day 13,ABCE1,-2.3217,-2.988
total,day 13,POLR2F,-4.8152,-5.5306
grna,day 21,RPL7,-1.9786,-3.0766
total,day 21,PSMB2,-3.5849,-4.7703
grna,day 5,RPL27,-2.6932,-2.9246
total,day 5,POLR2D,-2.3411,-3.1976
grna,day 13,EIF2B5,-3.3702,-2.6736
total,day 13,RPS27,-5.2934,-3.1963
grna,day 21,EEF1G,-2.6325,-2.3098
total,day 21,PSMC1,-4.7788,-3.1145
grna,day 5,RRM1,-1.0957,-2.5266
grna,day 13,EIF2B3,-3.0086,-2.9176
total,day 13,RPS24,-5.5462,-5.8612
grna,day 21,NOP58,-0.58295,-4.3497
total,day 21,RPS7,-4.3033,-2.822
grna,day 5,SFPQ,-2.5142,-0.94266
total,day 5,POLR2J3,-3.9004,-2.4588
grna,day 13,POP1,-2.4227,-3.029
grna,day 21,ABCE1,-1.7355,-2.5723
total,day 21,POLR2L,-3.1576,-5.8101
grna,day 5,SCAMP2,0.18446,-0.65412
total,day 5,XPO1,-1.8598,-0.63964
grna,day 13,EIF4A1,-0.01081,-2.6298
total,day 13,RPL19,-4.7813,-5.5198
grna,day 21,NHP2,-2.8353,-1.2309
total,day 21,RPL8,-4.8151,-5.7153
grna,day 5,SNRPD2,-2.4936,-0.34281
grna,day 13,PSMA6,-1.9735,-3.1296
total,day 13,RPS6,-5.6523,-5.9139
grna,day 21,RNPC3,0.39273,-4.296
total,day 21,KARS1,-5.0437,-4.28
grna,day 5,RPL17-C18ORF32,-0.28821,-3.3142
total,day 5,SUPT6H,-1.8979,-2.0591
grna,day 13,SON,-3.5047,-2.2491
total,day 13,EXOSC8,-4.8045,-3.8794
grna,day 21,BOP1,-3.0201,-1.0918
total,day 21,POLR2F,-5.007,-4.4304
grna,day 5,UBC,-1.0436,-0.17869
grna,day 13,RPL23,-3.1407,-1.2775
grna,day 21,URM1,-2.8885,-3.2259
total,day 21,RPL28,-4.1692,-5.13
grna,day 5,NBPF10,-1.617,-1.6137
total,day 5,POLR2L,-1.5718,-1.4898
grna,day 13,NOP58,-1.1663,-4.4188
total,day 13,NUTF2,-4.6497,-5.83
grna,day 21,NOL12,-0.53284,-3.176
total,day 21,XPO1,-4.2773,-4.5258
grna,day 5,MRPL23,-2.159,-0.21322
total,day 5,RPL19,-1.6399,-1.7794
grna,day 13,RPL9,-3.1033,-3.7307
total,day 13,XPO1,-5.3774,-5.1879
grna,day 21,XPO1,-1.6796,-3.0951
total,day 21,PRPF19,-3.9819,-5.2134
grna,day 5,RPL18,-1.6921,-1.323
total,day 5,POLR2J,-2.2642,-3.0951
grna,day 13,RPL23A,-4.4252,-3.7148
total,day 13,POLR2L,-4.257,-6.5999
grna,day 21,NCBP2,-1.8104,-2.8116
total,day 21,EXOSC8,-4.3046,-3.4766
total,day 5,RPL23A,-1.6611,-1.1703
grna,day 13,RUVBL1,-4.3816,-2.472
total,day 13,EIF2B5,-5.7848,-4.6053
grna,day 21,SSU72,-0.3539,-3.0533
total,day 21,RSL24D1,-4.3205,-5.1992
grna,day 5,RPL23A,-1.8965,-2.3538
grna,day 13,PSMB2,-1.6373,-3.6026
total,day 13,RPS19,-4.9979,-4.0017
grna,day 21,CHERP,-1.094,0.69415
total,day 21,USP39,-4.198,-3.6508
grna,day 5,SNW1,-3.0929,0.63298
total,day 5,POLR2K,-2.6481,-2.4015
grna,day 13,NOP16,-3.0121000000000002,-1.5921
total,day 13,SNRPD2,-4.8913,-5.5601
grna,day 21,MRPL33,-2.6625,-1.7586
total,day 21,POLR2A,-4.1803,-3.2317
grna,day 5,PINX1,-2.7033,-0.2326
