sgrna,sample_name,rep1,rep2
DCPS_4_1,heavy,1.4906,1.2897
RPL23_4_1,heavy,-4.2304,-4.0637
SDAD1_2_3,heavy,-2.3037,-2.2655
RPL9_4_1,heavy,-3.7725,-3.7814
RPL15_3_4,heavy,-3.6151,-3.6777
RPL8_2_3,heavy,-3.8979,-4.1406
DDX54_2_3,heavy,-2.6145,-2.6877
RPL15_2_3,heavy,-4.0193,-4.0801
RPL8_1_2,heavy,-4.6632,-4.3595
RPL24_4_1,heavy,-4.0576,-4.2921
LSG1_4_1,heavy,-1.9391,-1.8692
RPL35A_3_4,heavy,-3.3153,-3.4452
NOP16_4_1,heavy,-2.3732,-2.4668
BRIX1_1_2,heavy,-1.6959,-1.7771
NSA2_3_4,heavy,-2.1014,-2.275
GNL3L_3_4,heavy,-1.8278,-1.8204
RSL24D1_1_2,heavy,-2.5045,-2.718
CEBPZ_2_3,heavy,-3.0011,-3.1575
RPL35A_1_2,heavy,-3.9584,-3.9473
RPL13_3_4,heavy,-3.044,-3.1397
RPL4_4_1,heavy,-3.1727,-3.2358
RPL19_1_2,heavy,-3.5913,-3.5854
LSG1_1_2,heavy,-1.4982,-1.5069
RPL21_3_4,heavy,-2.8152,-2.637
RPL18A_1_2,heavy,-4.2002,-4.3361
MAK16_4_1,heavy,-2.6193,-2.82
RPL5_1_2,heavy,-3.4618,-3.3031
WDR12_3_4,heavy,-1.5869,-1.6309
NOP16_2_3,heavy,-2.351,-2.2555
RPL32_4_1,heavy,-3.106,-3.068
RPL35_2_3,heavy,-3.8944,-3.8762
RPL36_4_1,heavy,-3.4078,-3.5605
BRIX1_4_1,heavy,-3.0653,-2.8669
RPL11_4_1,heavy,-3.9162,-4.1094
RPL30_2_3,heavy,-3.7136,-3.7054
BOP1_2_3,heavy,-1.7546,-1.8253
NOC2L_3_4,heavy,-1.8703,-2.0225
GTPBP4_3_4,heavy,-2.9097,-2.9085
RPL37A_3_4,heavy,-3.1947,-3.5858
RPL9_2_3,heavy,-4.488,-4.3974
LSG1_3_4,heavy,-2.2154,-2.378
RPL34_4_1,heavy,-3.9042,-4.2869
DDX54_4_1,heavy,-1.665,-1.8033
RPL35_3_4,heavy,-3.3275,-3.2075
NIP7_2_3,heavy,-2.6891,-2.5423
RPL5_2_3,heavy,-2.7032,-2.9121
RPL17_1_2,heavy,-2.269,-2.6048
RPL10_2_3,heavy,-3.7621000000000002,-3.8897
BRIX1_3_4,heavy,-3.2911,-3.208
RPL37A_1_2,heavy,-1.5078,-1.6533
RPL37A_4_1,heavy,-2.3696,-2.3415
UBA52_2_3,heavy,-3.0851,-3.0743
RPL7A_3_4,heavy,-3.8058,-3.6505
RSL1D1_1_2,heavy,-2.0058,-1.9471
RSL24D1_3_4,heavy,-2.1438,-2.1824
RPLP0_1_2,heavy,-4.6667,-4.6721
RAE1_3_4,heavy,-1.2032,-1.1869
RPL31_4_1,heavy,-3.1083,-3.416
RPL31_2_3,heavy,-2.6195,-2.8129
NMD3_4_1,heavy,-2.2413,-2.2543
RPL30_1_2,heavy,-4.8124,-4.5465
GNL3L_4_1,heavy,-2.7378,-2.606
RPL18_2_3,heavy,-3.9261,-4.3111
RPL38_2_3,heavy,-2.4781,-2.6214
RPL31_3_4,heavy,-4.2189,-4.4838
RPL10_3_4,heavy,-4.1037,-4.5788
RPL8_3_4,heavy,-4.0805,-4.4778
RPL38_3_4,heavy,-2.2656,-2.419
GTPBP4_4_1,heavy,-2.8914,-2.9043
RPL9_3_4,heavy,-3.361,-2.7644
RPL3_2_3,heavy,-2.7501,-2.5855
BOP1_1_2,heavy,-1.9329,-2.0529
PES1_3_4,heavy,-1.4575,-1.5827
