treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,ASCC3,0.61798,1.49e-4,2.2646e-6,day13,-0.2122,0.509217
heavy,mono,rep1,ASCC3,0.61798,1.49e-4,2.2646e-6,day5,0.8555,NA
heavy,mono,rep1,EIF5A,0.74754,1.49e-4,2.2646e-6,day13,-2.5571,NA
heavy,mono,rep1,EIF5A,0.74754,1.49e-4,2.2646e-6,day5,0.33197,NA
heavy,mono,rep1,EEF2,0.39575,1.49e-4,2.2646e-6,day13,-2.2527,0.061337
heavy,mono,rep1,EEF2,0.39575,1.49e-4,2.2646e-6,day5,-0.22483,0.493021
heavy,mono,rep1,NCBP1,0.50721,1.49e-4,2.2646e-6,day13,-2.7199,0.066244
heavy,mono,rep1,NCBP1,0.50721,1.49e-4,2.2646e-6,day5,-0.31888,0.503047
heavy,mono,rep1,EIF1AX,0.47567,1.49e-4,2.2646e-6,day13,-2.0246,0.147042
heavy,mono,rep1,EIF1AX,0.47567,1.49e-4,2.2646e-6,day5,-0.45706,0.502427
heavy,mono,rep1,SUPT6H,0.52248000000000006,0.001857,3.397e-5,day13,-3.4856,0.062826
heavy,mono,rep1,SUPT6H,0.52248000000000006,0.001857,3.397e-5,day5,-0.32504,0.357761
heavy,mono,rep1,CPSF3,0.49114,0.006897,1.472e-4,day13,-1.9482,0.185219
heavy,mono,rep1,CPSF3,0.49114,0.006897,1.472e-4,day5,-0.23192,0.490186
heavy,mono,rep1,DUS1L,0.35043,0.009006,2.1967e-4,day13,1.3483,NA
heavy,mono,rep1,DUS1L,0.35043,0.009006,2.1967e-4,day5,0.65699,NA
heavy,mono,rep1,DHX35,0.32773,0.009656,2.6496e-4,day13,-0.76343,NA
heavy,mono,rep1,DHX35,0.32773,0.009656,2.6496e-4,day5,0.92851,NA
heavy,mono,rep1,TFIP11,0.19422,0.009842,3.1026e-4,day13,-1.642,0.217809
heavy,mono,rep1,TFIP11,0.19422,0.009842,3.1026e-4,day5,-0.41943,0.372524
heavy,mono,rep1,METAP2,0.22468,0.009842,3.329e-4,day13,-0.98765,0.333604
heavy,mono,rep1,METAP2,0.22468,0.009842,3.329e-4,day5,-0.22413,NA
heavy,mono,rep1,ZNF207,0.39545,0.009842,3.6008e-4,day13,-0.16229,NA
heavy,mono,rep1,ZNF207,0.39545,0.009842,3.6008e-4,day5,0.13369,NA
heavy,mono,rep1,KRAS,0.24124,0.010342,4.099e-4,day13,0.48184,NA
heavy,mono,rep1,KRAS,0.24124,0.010342,4.099e-4,day5,0.092908,NA
heavy,mono,rep1,CHERP,0.24314,0.01215,5.186e-4,day13,-1.1281,0.102761
heavy,mono,rep1,CHERP,0.24314,0.01215,5.186e-4,day5,-0.9118,0.186119
heavy,mono,rep1,CPSF2,0.35089,0.012393,5.7295e-4,day13,-1.3802,0.363876
heavy,mono,rep1,CPSF2,0.35089,0.012393,5.7295e-4,day5,-0.1236,NA
heavy,mono,rep1,TCERG1,0.26822,0.012393,6.0466e-4,day13,-0.22551,NA
heavy,mono,rep1,TCERG1,0.26822,0.012393,6.0466e-4,day5,0.13965,NA
heavy,mono,rep1,SRSF2,0.33644,0.012393,6.4542e-4,day13,-3.8759,0.02284
heavy,mono,rep1,SRSF2,0.33644,0.012393,6.4542e-4,day5,-0.32958,0.444337
heavy,mono,rep1,NUDT21,0.25449,0.012393,7.043e-4,day13,-1.8755,0.067029
heavy,mono,rep1,NUDT21,0.25449,0.012393,7.043e-4,day5,0.062246,NA
heavy,mono,rep1,PABPN1,0.31606,0.012393,7.1789e-4,day13,-0.34487,NA
heavy,mono,rep1,PABPN1,0.31606,0.012393,7.1789e-4,day5,0.048311,NA
heavy,mono,rep1,DCPS,0.088582,1,9.8512e-4,day13,0.59014,NA
heavy,mono,rep1,DCPS,0.088582,1,9.8512e-4,day5,0.21085,NA
heavy,mono,rep1,ZC3H18,0.25618,0.017672,0.0011346,day13,-0.47177,0.23625
heavy,mono,rep1,ZC3H18,0.25618,0.017672,0.0011346,day5,-0.7967,0.327417
heavy,mono,rep1,H4C4,0.16751,0.017672,0.0011708,day13,1.5255,NA
heavy,mono,rep1,H4C4,0.16751,0.017672,0.0011708,day5,0.4004,NA
heavy,mono,rep1,PNISR,0.25041,0.017672,0.0011935,day13,1.0785,NA
heavy,mono,rep1,PNISR,0.25041,0.017672,0.0011935,day5,-0.042655,NA
heavy,mono,rep1,GTPBP3,0.20039,0.017672,0.001275,day13,0.41187,NA
heavy,mono,rep1,GTPBP3,0.20039,0.017672,0.001275,day5,0.21356,NA
heavy,mono,rep1,CDV3,0.16711,0.017672,0.0012931,day13,0.59961,NA
heavy,mono,rep1,CDV3,0.16711,0.017672,0.0012931,day5,0.17685,NA
heavy,mono,rep1,ZNF106,0.25864,0.021125,0.0016102,day13,0.26791,NA
