treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,ASCC3,0.61798,1.49e-4,2.2646e-6,day13,-0.30793,NA
heavy,mono,rep1,ASCC3,0.61798,1.49e-4,2.2646e-6,day7,0.31986,0.307816
heavy,mono,rep1,EIF5A,0.74754,1.49e-4,2.2646e-6,day13,-2.4376,0.079589
heavy,mono,rep1,EIF5A,0.74754,1.49e-4,2.2646e-6,day7,-0.21297,NA
heavy,mono,rep1,EEF2,0.39575,1.49e-4,2.2646e-6,day13,-3.1107,0.041869
heavy,mono,rep1,EEF2,0.39575,1.49e-4,2.2646e-6,day7,-0.53879,0.254243
heavy,mono,rep1,NCBP1,0.50721,1.49e-4,2.2646e-6,day13,-4.1172,0.041318
heavy,mono,rep1,NCBP1,0.50721,1.49e-4,2.2646e-6,day7,-1.5279,0.018408
heavy,mono,rep1,EIF1AX,0.47567,1.49e-4,2.2646e-6,day13,-2.1252,0.037733
heavy,mono,rep1,EIF1AX,0.47567,1.49e-4,2.2646e-6,day7,-0.90577,0.064651
heavy,mono,rep1,SUPT6H,0.52248000000000006,0.001857,3.397e-5,day13,-4.5985,0.017878
heavy,mono,rep1,SUPT6H,0.52248000000000006,0.001857,3.397e-5,day7,-3.2667,8.7e-4
heavy,mono,rep1,CPSF3,0.49114,0.006897,1.472e-4,day13,-4.1529,0.053152
heavy,mono,rep1,CPSF3,0.49114,0.006897,1.472e-4,day7,-1.648,0.031004
heavy,mono,rep1,DUS1L,0.35043,0.009006,2.1967e-4,day13,1.6968,0.035237
heavy,mono,rep1,DUS1L,0.35043,0.009006,2.1967e-4,day7,1.0402,0.050331
heavy,mono,rep1,DHX35,0.32773,0.009656,2.6496e-4,day13,0.71698,NA
heavy,mono,rep1,DHX35,0.32773,0.009656,2.6496e-4,day7,0.47304,NA
heavy,mono,rep1,TFIP11,0.19422,0.009842,3.1026e-4,day13,-1.8391,0.276292
heavy,mono,rep1,TFIP11,0.19422,0.009842,3.1026e-4,day7,-0.39636,NA
heavy,mono,rep1,METAP2,0.22468,0.009842,3.329e-4,day13,-0.85514,0.336533
heavy,mono,rep1,METAP2,0.22468,0.009842,3.329e-4,day7,0.30102,0.313583
heavy,mono,rep1,ZNF207,0.39545,0.009842,3.6008e-4,day13,-3.7792,0.080127
heavy,mono,rep1,ZNF207,0.39545,0.009842,3.6008e-4,day7,-0.96648,NA
heavy,mono,rep1,KRAS,0.24124,0.010342,4.099e-4,day13,0.56693,NA
heavy,mono,rep1,KRAS,0.24124,0.010342,4.099e-4,day7,0.19563,NA
heavy,mono,rep1,CHERP,0.24314,0.01215,5.186e-4,day13,-1.5223,0.109149
heavy,mono,rep1,CHERP,0.24314,0.01215,5.186e-4,day7,-0.47558,0.253534
heavy,mono,rep1,CPSF2,0.35089,0.012393,5.7295e-4,day13,-3.7945,0.078778
heavy,mono,rep1,CPSF2,0.35089,0.012393,5.7295e-4,day7,-1.1381,0.182827
heavy,mono,rep1,TCERG1,0.26822,0.012393,6.0466e-4,day13,-0.28678,NA
heavy,mono,rep1,TCERG1,0.26822,0.012393,6.0466e-4,day7,0.30588,NA
heavy,mono,rep1,SRSF2,0.33644,0.012393,6.4542e-4,day13,-6.703,0.01024
heavy,mono,rep1,SRSF2,0.33644,0.012393,6.4542e-4,day7,-2.0538,0.013098
heavy,mono,rep1,NUDT21,0.25449,0.012393,7.043e-4,day13,-4.3867,0.030156
heavy,mono,rep1,NUDT21,0.25449,0.012393,7.043e-4,day7,-0.28241,NA
heavy,mono,rep1,PABPN1,0.31606,0.012393,7.1789e-4,day13,-1.2045,0.326212
heavy,mono,rep1,PABPN1,0.31606,0.012393,7.1789e-4,day7,-0.23584,NA
heavy,mono,rep1,DCPS,0.088582,1,9.8512e-4,day13,0.88581,NA
heavy,mono,rep1,DCPS,0.088582,1,9.8512e-4,day7,0.44951,0.152929
heavy,mono,rep1,ZC3H18,0.25618,0.017672,0.0011346,day13,-1.292,0.287294
heavy,mono,rep1,ZC3H18,0.25618,0.017672,0.0011346,day7,-0.17912,NA
heavy,mono,rep1,H4C4,0.16751,0.017672,0.0011708,day13,1.3511,0.035237
heavy,mono,rep1,H4C4,0.16751,0.017672,0.0011708,day7,0.40471,0.150573
heavy,mono,rep1,PNISR,0.25041,0.017672,0.0011935,day13,0.26892,NA
