isoform,gene,A,B
e2,SF3B5,5.4907,3.8858
i1,AQR,3.1364,3.7346
i2,PPWD1,2.1837,1.937
e2,SNRPA1,4.1198,4.7616
i1,TFIP11,1.1008,1.2505
i2,TFIP11,2.2616,2.2457
e2,CSE1L,2.6442,3.5908
i1,GPKOW,1.0547,1.1492
i2,GPKOW,1.7084,1.5834
e2,NUTF2,2.9276,3.8992
i1,PLRG1,1.6689,1.7977
i2,AQR,3.6222,4.226
e2,SF3A3,1.8903,3.4337
i2,PRPF18,1.8805,1.3728
e2,SF3B1,4.076,3.0121000000000002
i1,WTAP,2.1028,0.71863
e2,SF3B2,3.4129,3.5626
i1,KPNB1,2.6825,1.5958
i2,CRNKL1,1.907,1.4816
i1,RPL15,0.28769,1.6924
i2,RNF113A,2.4851,2.5917
e2,RAN,1.4139,3.8738
i1,RNF113A,1.4828,1.3893
i2,BUD13,1.1463,2.0484
e2,SF3B3,3.4833,5.5578
i1,RPL7,2.4404,0.41348
i2,ISY1,2.4122,2.669
i1,DNAJC17,1.8261,2.5244
i2,CDC40,2.1002,2.0534
i2,CACTIN,2.4049,0.64959
e2,PLRG1,1.868,0.74664
i1,EXOSC4,1.2398,0.56693
i2,DDX23,1.4168,1.4487
e2,SF3A1,4.5409,2.1676
i1,DDX41,1.6842,2.6291
i2,CWC15,0.77805,1.1246
i1,RPL9,1.6809,1.1028
i2,XAB2,1.7975,1.8696
e2,KPNB1,3.5662,4.3619
i1,PPWD1,0.80507,0.89968
i2,ESS2,1.8054,1.8946
i1,HNRNPC,2.119,1.8244
e2,ALYREF,2.0942,2.9925
i1,IPO13,1.5292,1.3552
i2,DNAJC17,2.6396,3.084
i1,EXOSC9,0.73693,1.1639
i2,PLRG1,1.2435,1.3434
e2,SNU13,5.0927,1.065
i1,EIF3D,1.1053,0.70567
i1,EXOSC6,0.83668,1.2913
i2,CWC22,0.42522,2.372
e2,SUPT6H,-0.26386,3.4927
i1,SNRNP200,2.2496,1.615
i2,DDX41,2.0912,2.4931
i1,BUD13,0.78101,0.86002
i1,CWF19L2,0.81671,0.57183
i2,SRRM2,1.1262,0.95867
i1,CACTIN,1.2308,0.43422
e2,SART3,1.4444,1.5592
i1,ESS2,0.89113,0.70548
i2,PPIE,1.5924,1.8559
i1,PRPF18,1.0696,1.1309
i2,DHX38,1.7259,1.5628
i1,STRAP,1.1845,0.20816
i2,USP39,1.0184,1.2116
e2,CWC22,2.1064,1.3787
i1,NCBP2,0.35217,1.1217
e2,DDX23,2.6831,0.84355
i1,EIF2S3,1.3735,0.60782
i1,RBMX2,1.3239,1.5309
i2,DHX16,0.97105,1.783
e2,CWC25,-0.77413,1.3679
i1,UBE2I,-0.037649,0.88326
i2,PRPF6,1.5656,0.51283
e2,PRPF31,0.85386,0.93465
i1,CRNKL1,1.0189,0.079141
e2,METTL1,0.36656,0.83086
i1,CWC25,0.066813,1.0612
i2,DHX15,1.1601,1.4106
i2,PPIL4,2.3919,1.0782
i1,DBR1,0.47528,0.82098
i2,NKAP,1.208,2.261
i1,MTREX,1.1599,1.1443
e2,H1-5,1.3221,0.31142
i1,EXOSC8,0.79992,0.53427
i2,DHX8,2.5938,1.9443
i2,SNRNP40,0.62612,1.0577
e2,DDX19A,2.8821,1.4492
i1,SF3A1,1.3857,0.52674
i1,RPL8,1.6492,0.33651
i2,SART1,0.89161,1.7064
i1,CCT7,1.3601,0.88553
i2,CWF19L2,1.2064,0.86894
i1,PPIE,0.66386,0.63502
e2,RANBP2,1.2478,1.587
i2,YTHDC1,0.38482,1.372
i1,VIRMA,0.2877,0.78844
i2,SF3B6,1.0163,1.9568
e2,PSMB2,-0.13453,-0.10081
i2,HNRNPC,1.6469,1.6684
e2,NUP98,-0.0589,2.4593
i1,SF3B2,1.2975,0.67857
i1,SNRPA1,0.6797,1.7099
i2,NSRP1,-0.32062,1.2885
i1,NKAP,0.71463,1.0825
i1,DHX16,0.48589,0.78046
i2,PRPF38A,1.1261,0.85056
i1,TCERG1,0.38698,0.5459
i2,SNIP1,0.64773,0.84919
i1,SNW1,0.95277,1.0472
i2,PRPF31,0.87326,0.71033
e2,ALKBH1,1.6219,0.48977
i1,DHX8,1.8327,1.8072
i2,NXF1,0.90109,-0.15512
e2,GPATCH8,1.4328,1.6884
i2,SLU7,1.9886,1.5721
i1,DHX15,0.54865,0.83329
i2,SNU13,1.7932,2.3493
i2,SNRNP200,1.1187,2.3254
i1,RPL19,1.1964,0.56298
i2,SART3,0.74589,0.65417
i1,DHX38,0.92385,0.65823
i1,EIF4E3,0.46912,-0.083114
i2,CDC5L,1.0209,0.50726
i1,EIF4A3,1.4614,1.7516
i2,LCMT2,0.28112,0.30704
i1,SART3,0.43806,0.31015
i2,CWC25,1.0225,1.4243
e2,EIF3E,1.7035,0.67715
i1,LSM7,0.5706,1.2203
i2,BRF2,0.51968,0.99149
i2,SNW1,1.4137,1.7973
i1,PPHLN1,0.51358,0.57658
i1,WBP11,0.83787,0.63223
i1,SRRM2,0.96063,0.47351
i1,RPL35A,0.96131,0.99439
i1,BCLAF1,0.62906,0.5634
e2,NKAP,0.5307,1.5923
i1,PPP1R8,1.0774,0.10916
e2,PRPF4,0.71376,1.3938
i1,SLU7,0.75862,1.1078
i2,SUPT6H,0.95311,0.46385
i1,PSMD11,0.32911,0.66406
e2,SNW1,1.6338,1.2374
i1,PPIL4,1.2423,0.48287
e2,MTERF1,1.0189,1.0396
i2,VIRMA,0.16971,0.59297
i2,PSMB2,1.1171,1.2967
e2,XAB2,-0.45059,1.4662
i2,FAM32A,0.71399,0.77416
e2,YTHDC1,1.134,1.4041
i1,SNRNP40,0.3766,0.48283
i2,ELAVL1,0.28069,0.36822
i1,USP39,1.0192,1.142
i2,WBP11,-0.046005,0.78273
i1,RNMT,0.54202,0.82284
i1,RPL31,0.7725,0.72384
i1,NXF1,0.55497,0.16969
i1,NUTF2,1.2025,0.83802
i1,RPL10,0.25912,0.90531
i2,PHF5A,0.88911,1.2919
i1,DDX23,0.084718,1.0231
i2,RBMX2,1.0827,0.37511
i1,CWC22,0.90915,1.1896
i2,CCT7,-0.29673,1.2152
i1,CWC15,-0.0069289,0.41503
i1,MAGOH,0.13773,0.92507
i2,RPL19,1.6971,0.24917
i2,HYGRO,-0.068206,0.38406
e2,EXOSC4,-0.99197,1.47
e2,RSL1D1,-0.087344,1.2126
i1,PPP1R10,0.57601,0.35331
e2,U2SURP,-0.049083,1.4528
i1,SF3B5,1.2772,0.8014
i2,RBM22,0.80306,0.94827
i1,NCBP1,1.0156,0.92689
i2,KIN,0.59076,0.60904
i2,IPO13,1.1428,-0.0042142
i1,DDX3X,0.98695,0.62878
i2,LSM4,0.59183,0.91079
i2,GARS1,0.33036,0.97886
i2,EIF3D,0.6781,0.42582
i1,TASOR,0.62511,0.57492
i1,PSMB2,1.0534,0.54069
i1,HYGRO,0.077783,0.77553
i1,ZFC3H1,0.53944,0.2903
i2,MTREX,0.83244,1.0356
e2,DHX16,0.55341,1.1266
i2,CDK11B,0.76605,1.2095
i1,CSE1L,0.66081,0.83349
i1,METTL14,0.4907,0.83147
e2,PHF5A,1.3082,1.9729
i1,DDX19A,1.5393,0.025239
i1,PRPF6,0.90146,0.32979
i2,NUTF2,0.80007,0.35645
i1,SART1,0.47367,-0.10954
i2,RBM8A,0.41351,1.372
i2,U2SURP,0.55762,0.39549
i1,RBM8A,1.7089,0.79807
i2,STRAP,1.1861,-0.090984
e2,PSMD6,0.99349,-0.87246
i2,PRPF8,1.1221,1.1374
i2,UBE2I,0.25664,0.75151
i2,PSMD11,0.43839,0.78504
i1,EIF3G,0.6774,0.52261
i2,NUSAP1,0.36698,0.063306
i1,SFPQ,0.53907,1.1003
i1,RPL36,1.1827,0.55817
e2,PRPF6,1.6395,0.31005
i1,H1-5,0.6367,0.1535
i1,ZNF638,0.39356,0.26825
i1,ISY1,1.0349,0.34512
i2,RAN,-1.1823,1.0482
i1,SUPT4H1,0.32676,0.50784
i1,CDK11B,0.65464,0.82285
i2,EIF2B4,1.1609,0.64279
e2,TRIP6,0.7622,1.2277
e2,SFPQ,1.2558,1.7441
i2,BLTP2,0.55962,0.63247
i1,RPL32,0.41164,0.63428
i1,NUSAP1,0.26596,0.31841
i1,RSL1D1,0.46404,0.32927
i1,PHF5A,0.98863,1.5054
i2,RPL9,0.17568,0.71244
e2,STRAP,1.4142,0.23808000000000001
i1,BRF2,0.55936,0.40022
i2,LSM7,0.14792,1.2378
e2,RBM8A,0.067141,1.5337
i1,SNU13,1.0216,1.2877
i2,RPL31,9.8531e-5,0.75975
i1,XAB2,0.89042,0.5475
i1,INTS10,0.4206,-0.081459
i1,CDC40,0.53788,0.25019
i1,YTHDC1,0.58578,0.81006
e2,CRNKL1,1.1409,-0.98439
i2,IGHMBP2,0.34823,0.48762
i1,EIF3F,0.81261,0.72259
i2,EXOSC8,0.61403,0.076066
e2,SNRNP40,0.45809,-0.47816
i1,FAM32A,0.70278,0.37461
i1,USP10,0.048586,0.27799
i1,NMD3,0.39881,0.4057
i1,CHERP,0.5787,0.2846
i1,PHB1,0.48587,0.41972
i2,ZC3H13,0.084303,0.51598
i2,MRPL2,0.10418,0.44584
e2,CDK11B,1.2929,0.11529
i1,CARS1,0.67069,0.57047
i1,SF3B1,0.73506,0.6012
i2,PHB1,-0.34379,0.50139
i1,PRPF4,0.47636,0.57087
i2,METTL14,0.17349,-0.031335
i1,PSMD6,0.47088,0.66045
i2,MAGOH,0.39016,0.28593
i2,PPHLN1,0.24061,-0.11133
i2,CARS1,0.60921,0.52554
e2,DNAJC17,0.031346,1.2561
i1,GARS1,0.18812,0.62057
i2,ALKBH1,0.39134,-0.14118
e2,DDX41,-0.010574,0.7547
i1,U2SURP,0.45892,0.30456
e2,HNRNPC,-0.48828,1.0925
i2,ZNF638,-0.40316,0.37624
e2,CARS1,-0.094471,1.1774
i1,SNIP1,0.11621,0.35756
e2,NCBP1,1.2742,0.30409
e2,PHB1,1.7017,-1.0614
i2,EXOSC9,0.70554,0.21143
i1,PRPF31,0.079364,0.35229
e2,RBMX2,1.0723,0.15829
i2,EIF2S3,0.59433,0.50368
i1,RAN,0.69322,0.57498
i1,SF3A3,0.4565,0.45416
i2,NCBP2,0.28859,0.80301
e2,CHERP,-0.47632,1.0732
i1,PRPF8,0.69348,0.81732
e2,LSM4,0.15751,0.86309
i1,EIF2AK3,0.30059,0.34204
e2,SNRNP200,1.0892,1.461
i2,CHERP,-0.20623,0.099342
i1,EIF2B4,0.37454,0.61556
i2,EIF3F,-0.11502,0.69966
i2,EXOSC4,0.37085,0.14271
i2,SFPQ,0.19493,0.39351
e2,TFIP11,0.77536,0.18971
i2,NCBP1,0.38685,0.43335
i1,MRPL58,0.3251,0.53901
i2,EIF2AK3,0.16841,0.018262
e2,SLU7,0.861,0.70452
i2,RANBP2,0.24065,0.10199
i2,H1-5,0.034842,0.13282
i2,PRPF4,0.79364,0.43938
e2,USP39,0.971,0.065538
i2,PPP1R10,0.22725,0.23221
e2,AQR,0.68682,0.88692
i1,NSRP1,-0.31782,-0.0020412
e2,EIF2S3,0.33313,1.3117
e2,INTS10,0.79332,0.050406
i1,KIN,0.35253,0.058545
i2,DDX3X,0.48312,-0.73778
e2,MTREX,1.0519,0.38923
e2,PRPF38A,-0.56077,0.66568
e2,NXF1,0.51697,0.12008
i2,TRIP6,-0.0095873,0.081973
i2,ALYREF,0.27446,0.10646
i2,EXOSC6,0.47743,0.24415
i2,SNRPA1,0.1497,0.35332
i2,SF3A1,0.61016,0.46541
e2,PPWD1,0.2582,0.96284
e2,EIF3D,1.219,0.92227
i2,RPL35A,0.33566,0.031106
i1,ZC3H13,0.071445,0.39618
i1,ALYREF,0.20813,0.10851
e2,CDC5L,0.76903,1.2141
e2,PRPF8,1.1265,1.3761
e2,ISY1,1.0188,0.41994
i2,TASOR,0.079081,0.27435
e2,TCERG1,-1.2957,0.79389
e2,GPKOW,0.62577,0.19844
e2,MAGOH,-0.74306,0.48369
i2,RPL36,-0.058446,0.21806
i2,WTAP,-0.25128,0.23318
e2,CACTIN,0.88026,-0.081051
i2,NUP98,0.3742,-0.22036
i1,SF3B3,0.63388,0.83304
e2,EXOSC8,-0.22359,0.6827
i1,PRPF38A,-0.26404,0.28551
e2,HYGRO,-0.7232,0.64214
i2,ZFC3H1,0.21436,0.34782
i2,RPL32,-0.63237,0.36227
i2,DDX19A,0.46967,-0.27284
e2,FAM32A,-0.90434,-0.47389
e2,RPL32,0.41198,-0.84661
e2,SRRM2,0.48194,0.76359
i2,EIF4E3,0.28218,0.035146
e2,WTAP,0.80268,0.074986
e2,RPL35A,-0.58684,1.0481
e2,RPL19,0.42267,0.53659
e2,RPL15,0.17435,0.94473
e2,RPL31,0.67979,1.0932
i1,RBM22,0.8055,0.20829
e2,BLTP2,-1.5288,-0.18124
i1,SUPT6H,0.13684,0.72011
i1,NUP98,0.37779,-0.32173
e2,ZFC3H1,-0.41351,0.75691
i1,ALKBH1,0.64318,-0.067265
e2,PSMD11,0.18782,-0.040004
e2,EIF4A3,-0.95825,0.54694
e2,DHX8,0.001233,1.3965
e2,CWC15,0.57361,-0.15438
i1,LSM4,0.24874,0.55487
e2,CDC40,-1.2858,0.90984
i2,GPATCH8,0.035446,0.43146
e2,RPL8,-0.63289,0.88551
i2,MTERF1,-0.005591,0.1247
i1,RANBP2,-0.0066724,0.098143
i2,USP10,0.1141,-0.0048998
e2,ZC3H13,0.06171,0.57727
e2,RNF113A,-0.016529,0.6344
i2,MRPL58,0.23367,0.28083
e2,SNIP1,0.36699,0.63262
i2,RPL15,0.033731,-0.14224
e2,ZNF638,0.67492,-1.1089
e2,ESS2,-0.086255,-0.76125
e2,KIN,0.23363,-1.413
e2,LSM7,-0.76495,1.0238
i2,RPL8,0.23183,0.21074
e2,MRPL2,-1.3825,0.64045
e2,EIF3F,-1.8791,0.65565
e2,PPP1R10,0.47145,-0.049063
i2,EIF3G,0.055835,-0.89766
i2,METTL1,-0.17576,0.048832
e2,DHX15,0.50115,0.2005
e2,SF3B6,0.39057,0.71361
i2,KPNB1,0.44297,-0.27445
i2,CSE1L,-0.36971,0.45661
e2,NMD3,0.70091,-0.085733
e2,SART1,0.17628,0.53864
i1,IGHMBP2,0.093125,-0.11075
e2,PPIL4,0.85947,0.56618
i2,PPP1R8,-0.31145,0.025397
e2,BCLAF1,0.63396,-0.16979
i2,SF3B1,-0.05083,-0.15748
e2,EXOSC6,0.43211,0.28726
e2,NCBP2,-1.4027,0.48831
i2,EIF3E,0.074826,-0.11229
e2,MRPL58,0.42509,0.086313
e2,RNMT,0.024972,0.12013
i2,PSMD6,-0.11179,0.24637
e2,DBR1,-0.60276,-0.89685
i2,DBR1,-0.2228,-0.1718
e2,EIF3G,-1.0026,0.19376
e2,WBP11,0.22163,0.51609
i1,SF3B6,-0.030634,0.2365
i1,METTL1,-0.17952,-0.082043
e2,UBE2I,0.41152,0.40393
i2,TCERG1,-0.088531,0.10236
i2,EIF4A3,-1.7395,-0.18297
i2,SF3B2,0.17684,-0.10039
e2,USP10,0.2188,0.0095586
e2,PRPF18,-0.91997,0.37791
e2,NUSAP1,0.0050701,-0.55359
e2,DHX38,0.53794,-0.030691
i2,RPL7,0.46261,-0.15558
i2,RNMT,-0.19738,0.13636
i1,CDC5L,-0.0075316,0.36329
e2,NSRP1,0.2755,0.36512
e2,BRF2,-0.035294,0.46107
e2,RPL7,-0.016829,-0.97522
e2,EXOSC9,-1.634,0.24844
e2,CCT7,-0.90755,0.58382
e2,PPHLN1,0.31308,-1.0442
e2,ELAVL1,-0.52404,0.24623
e2,RPL9,0.063978,-0.38271
e2,EIF2B4,-1.0435,0.24288
e2,EIF4E3,0.23609,-0.61535
i2,SUPT4H1,0.12793,-0.78268
i1,EIF3E,0.22889,0.0563
i1,GPATCH8,0.047224,0.38066
e2,TASOR,-1.9964,-0.33474
e2,LCMT2,0.5564,-0.98421
e2,PPIE,0.13672,-0.23843
i1,MTERF1,-0.25567,-0.036097
e2,RBM22,-0.081296,-1.4447
i2,SF3A3,-0.24239,0.024846
e2,VIRMA,0.32435,0.13733
e2,RPL10,-0.37885,-0.30119
i2,NMD3,-0.33174,-0.072369
e2,EIF2AK3,0.27185,-0.25321
e2,BUD13,-1.1325,0.31666
e2,METTL14,-0.59297,-0.73637
e2,PPP1R8,-1.2784,0.35083
i2,SF3B3,-0.019211,-0.40103
i2,BCLAF1,0.083691,-0.286
e2,GARS1,-0.1664,-0.49728
i1,BLTP2,-0.0059988,-0.038264
i2,RSL1D1,-0.18179,-0.17143
i2,SF3B5,-0.11671,-1.5522
i1,ELAVL1,0.082715,-0.17951
i1,TRIP6,-0.036912,-0.05336
i2,RPL10,0.016248,0.21578
e2,IGHMBP2,0.0015114,-0.68835
e2,SUPT4H1,-1.8024,-0.40304
e2,DDX3X,-1.0334,-0.19589
e2,CWF19L2,-0.75664,0.11237
e2,RPL36,-1.1119,0.092514
i2,INTS10,-0.019235,-0.0030039
i1,LCMT2,-0.28664,0.024649
i1,MRPL2,-0.030098,-0.33522
e2,IPO13,-1.1348,-0.58532
