go_term,description,fdr_q_value,ontology,direction,enrichment
GO:0006413,translational initiation,2.42e-26,Process,Up,7.70
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",5.24e-26,Process,Up,4.46
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,1.8e-25,Process,Up,4.99
GO:0019083,viral transcription,1.35e-25,Process,Up,4.99
GO:0006613,cotranslational protein targeting to membrane,6.58e-25,Process,Up,4.88
GO:0070972,protein localization to endoplasmic reticulum,1.31e-24,Process,Up,4.82
GO:0072599,establishment of protein localization to endoplasmic reticulum,1.13e-24,Process,Up,4.82
GO:0045047,protein targeting to ER,9.85e-25,Process,Up,4.82
GO:0006612,protein targeting to membrane,2.06e-24,Process,Up,4.77
GO:0090150,establishment of protein localization to membrane,4.71e-22,Process,Up,4.43
GO:0006605,protein targeting,9.16e-22,Process,Up,4.20
GO:0000956,nuclear-transcribed mRNA catabolic process,1.2600000000000002e-21,Process,Up,3.63
GO:0006402,mRNA catabolic process,1.22e-19,Process,Up,3.37
GO:0072657,protein localization to membrane,2.98e-19,Process,Up,4.02
GO:0016072,rRNA metabolic process,5.02e-18,Process,Up,2.00
GO:0006412,translation,5.75e-18,Process,Up,3.46
GO:0044265,cellular macromolecule catabolic process,1.16e-17,Process,Up,2.83
GO:0043043,peptide biosynthetic process,1.14e-17,Process,Up,3.42
GO:0006364,rRNA processing,1.9e-17,Process,Up,2.17
GO:0043604,amide biosynthetic process,2.44e-17,Process,Up,3.34
GO:0006401,RNA catabolic process,4.67e-17,Process,Up,4.41
GO:0009057,macromolecule catabolic process,1.14e-16,Process,Up,2.74
GO:0006518,peptide metabolic process,1.88e-16,Process,Up,3.27
GO:0072594,establishment of protein localization to organelle,2.77e-16,Process,Up,3.38
GO:0043603,cellular amide metabolic process,7.46e-16,Process,Up,3.16
GO:0034655,nucleobase-containing compound catabolic process,2.11e-14,Process,Up,2.76
GO:0019439,aromatic compound catabolic process,2.03e-14,Process,Up,2.76
GO:0006886,intracellular protein transport,2.02e-14,Process,Up,4.58
GO:1901361,organic cyclic compound catabolic process,2.49e-14,Process,Up,3.84
GO:0046700,heterocycle catabolic process,2.41e-14,Process,Up,3.84
GO:0044270,cellular nitrogen compound catabolic process,4.09e-14,Process,Up,3.79
GO:0033365,protein localization to organelle,2.76e-13,Process,Up,4.66
GO:1901566,organonitrogen compound biosynthetic process,6.27e-13,Process,Up,2.79
GO:1901575,organic substance catabolic process,6.97e-13,Process,Up,3.22
GO:0044248,cellular catabolic process,2.58e-12,Process,Up,3.13
GO:0009056,catabolic process,5.94e-12,Process,Up,3.08
GO:0033036,macromolecule localization,9.58e-12,Process,Up,3.28
GO:0070727,cellular macromolecule localization,1.49e-11,Process,Up,4.07
GO:0045184,establishment of protein localization,2.37e-11,Process,Up,3.67
GO:0034613,cellular protein localization,2.57e-11,Process,Up,4.11
GO:0042886,amide transport,3.11e-11,Process,Up,3.78
GO:0015031,protein transport,3.04e-11,Process,Up,3.78
GO:0015833,peptide transport,2.97e-11,Process,Up,3.78
GO:0044085,cellular component biogenesis,7.91e-11,Process,Up,2.48
GO:0022613,ribonucleoprotein complex biogenesis,7.73e-11,Process,Up,2.48
GO:0046907,intracellular transport,8.37e-11,Process,Up,3.04
GO:0016032,viral process,9.51e-11,Process,Up,3.73
GO:0044403,symbiont process,9.31e-11,Process,Up,3.73
GO:0044419,interspecies interaction between organisms,2.51e-10,Process,Up,3.45
GO:0044267,cellular protein metabolic process,2.97e-10,Process,Up,2.18
GO:0071705,nitrogen compound transport,3.02e-10,Process,Up,2.94
GO:0010629,negative regulation of gene expression,3.24e-10,Process,Up,1.98
GO:0051649,establishment of localization in cell,5.82e-10,Process,Up,2.88
GO:0008104,protein localization,7.5e-10,Process,Up,3.17
GO:0071702,organic substance transport,9.35e-10,Process,Up,2.85
GO:0051179,localization,4.1e-9,Process,Up,2.22
GO:0006810,transport,4.21e-9,Process,Up,2.34
GO:0051641,cellular localization,5.84e-9,Process,Up,2.62
GO:0019538,protein metabolic process,7.36e-9,Process,Up,2.04
GO:0051234,establishment of localization,1.46e-8,Process,Up,2.28
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.8e-8,Process,Up,6.62
GO:0051704,multi-organism process,3.2e-8,Process,Up,1.73
GO:0034470,ncRNA processing,1.03e-7,Process,Up,1.48
GO:0034660,ncRNA metabolic process,1.56e-7,Process,Up,1.76
GO:0002181,cytoplasmic translation,1.78e-7,Process,Up,4.34
GO:0010605,negative regulation of macromolecule metabolic process,2.43e-7,Process,Up,2.21
GO:0034645,cellular macromolecule biosynthetic process,3.16e-7,Process,Up,2.65
GO:1901564,organonitrogen compound metabolic process,4.01e-7,Process,Up,1.81
GO:0009892,negative regulation of metabolic process,5.66e-7,Process,Up,1.58
GO:0044271,cellular nitrogen compound biosynthetic process,6.35e-7,Process,Up,2.59
GO:0009059,macromolecule biosynthetic process,5.97e-6,Process,Up,2.38
GO:0044237,cellular metabolic process,1.48e-5,Process,Up,1.20
GO:0016070,RNA metabolic process,2.83e-5,Process,Up,1.32
GO:0008152,metabolic process,2.9e-5,Process,Up,1.19
GO:0048519,negative regulation of biological process,1.07e-4,Process,Up,1.40
GO:0090304,nucleic acid metabolic process,1.47e-4,Process,Up,1.32
GO:0030490,maturation of SSU-rRNA,1.57e-4,Process,Up,4.28
GO:0042273,ribosomal large subunit biogenesis,1.56e-4,Process,Up,2.75
GO:1901360,organic cyclic compound metabolic process,1.87e-4,Process,Up,1.30
GO:0006139,nucleobase-containing compound metabolic process,2.24e-4,Process,Up,1.30
GO:0034641,cellular nitrogen compound metabolic process,2.28e-4,Process,Up,1.28
GO:0046483,heterocycle metabolic process,2.69e-4,Process,Up,1.30
GO:0010468,regulation of gene expression,2.88e-4,Process,Up,1.60
GO:0044249,cellular biosynthetic process,3.35e-4,Process,Up,2.07
GO:0016071,mRNA metabolic process,3.32e-4,Process,Up,2.05
GO:0006725,cellular aromatic compound metabolic process,3.33e-4,Process,Up,1.30
GO:0044260,cellular macromolecule metabolic process,3.86e-4,Process,Up,1.46
