gene,mean_lfc,sd_lfc,n,pos_p_value,sig
EIF2B1,1.23278,0.5807444293892682,4,0.012304,*
EIF2B2,1.17078,0.924948386884371,3,0.088581,
EIF2B3,2.68095,0.8296493456073275,4,1.1323e-5,***
EIF2B4,2.983275,0.9946723158072378,4,4.3028e-5,***
EIF2B5,2.615275,1.0512301694522788,4,1.1323e-5,***
EIF2S1,3.290305,2.0074489303840335,4,6.7939e-6,***
EIF2S2,3.8611999999999997,2.288374275914381,4,1.5626e-4,***
EIF2S3,2.421475,0.5474850705727052,4,1.1323e-5,***
EIF3A,2.3436,1.199592760064848,3,0.0041601,**
EIF3B,1.375065,0.9423427357212802,4,0.011371,*
EIF3C,2.119975,0.789727097905768,4,0.0014652,**
EIF3CL,0.81231,0.9147159358693459,4,0.14291,
EIF3D,-0.3717833333333333,0.9809860888072436,3,0.64394,
EIF3E,-0.7760450000000001,0.20936372664177846,4,0.99783,
EIF3F,-0.5238225,0.42640249368994076,4,0.96554,
EIF3G,0.356735,0.5724466511096616,4,0.3077,
EIF3H,0.35558999999999996,0.8584617454882113,4,0.26773,
EIF3I,0.25388924999999996,0.9496160050369044,4,0.41123,
EIF3J,0.002270000000000015,0.5350542800501646,4,0.6467,
EIF3K,0.38008000000000003,0.5176779263853798,4,0.25737,
EIF3L,0.387418,0.4303840322758269,4,0.42227,
EIF3M,-1.06668025,1.4494342742096253,4,0.7457,
EIF4A1,-0.9121675,0.1933650915367094,4,0.99295,
EIF4E,-1.1711933333333333,2.0096412177633436,3,0.75636,
EIF4G1,-0.727088,1.0199103534932208,4,0.92972,
