day,gene,neg_p_value,lfc,gene_group,ordering
13,EIF2B5,1.2003e-4,-3.8185,eIF2B,-3.5204
13,EIF2B3,1.3814e-4,-3.7917,eIF2B,-2.9778
21,EIF2B5,4.5519e-4,-3.5204,eIF2B,-3.5204
13,EIF2B4,0.001352,-4.0175,eIF2B,-2.6206
5,EIF2S1,0.004912,-1.5558,eIF2,-2.7071
21,EIF3I,0.0040831,-3.4309,eIF3,-3.4309
5,EIF2S3,0.017236,-1.0792,eIF2,-3.0691
13,EIF3G,0.0041556,-3.856,eIF3,-3.6146
5,EIF3G,0.020606,-0.94685,eIF3,-3.6146
13,EIF2S1,0.0044998,-3.4223,eIF2,-2.7071
21,EIF3G,0.0097176,-3.6146,eIF3,-3.6146
13,EIF2B2,0.0069864,-2.6162,eIF2B,-2.0163
13,EIF2B1,0.0077201,-3.4179,eIF2B,-2.3717
5,EIF3B,0.033628,-1.288,eIF3,-0.73798
21,EIF2B3,0.013726,-2.9778,eIF2B,-2.9778
21,EIF2B2,0.014605,-2.0163,eIF2B,-2.0163
13,EIF3I,0.010062,-3.4775,eIF3,-3.4309
5,EIF3C,0.037441,-1.0481,eIF3,-0.54929
13,EIF2S3,0.010895,-3.5754,eIF2,-3.0691
13,EIF3E,0.015895,-2.5054,eIF3,-1.7914
5,EIF4A1,0.052714,-0.94058,eIF4F,-1.7645
21,EIF2S3,0.022241,-3.0691,eIF2,-3.0691
21,EIF2S1,0.017993,-2.7071,eIF2,-2.7071
21,EIF3E,0.022807,-1.7914,eIF3,-1.7914
21,EIF3H,0.025738,-2.0926,eIF3,-2.0926
13,EIF4A1,0.029651,-2.8317,eIF4F,-1.7645
5,EIF3F,0.096517,-1.2609,eIF3,-1.9172
5,EIF4E,0.079246,-1.3375,eIF4F,-2.6564
5,EIF3CL,0.10498,-0.99529,eIF3,-0.64653
13,EIF3C,0.041952,-1.5773,eIF3,-0.54929
5,EIF4G1,0.12102,-0.35421,eIF4F,-2.4135
13,EIF3F,0.048425,-2.6313,eIF3,-1.9172
21,EIF2B1,0.061514,-2.3717,eIF2B,-2.3717
21,EIF2B4,0.064046,-2.6206,eIF2B,-2.6206
13,EIF3D,0.060817,-1.6614,eIF3,-1.223
5,EIF3D,0.15323,-0.38847,eIF3,-1.223
13,EIF4E,0.050635,-3.3716,eIF4F,-2.6564
21,EIF4G1,0.067769,-2.4135,eIF4F,-2.4135
13,EIF3B,0.098355,-1.6664,eIF3,-0.73798
5,EIF2B1,0.22493,-0.6433,eIF2B,-2.3717
5,NLUC,0.23369,0.58055,CONTROL,3.0824
21,EIF3C,0.12266,-0.54929,eIF3,-0.54929
13,EIF3CL,0.1435,-1.3564,eIF3,-0.64653
5,EIF2B3,0.24403,-0.35983,eIF2B,-2.9778
13,EIF3H,0.14614,-1.2035,eIF3,-2.0926
21,EIF3F,0.13259,-1.9172,eIF3,-1.9172
21,EIF3A,0.11041,-1.3323,eIF3,-1.3323
5,EIF3K,0.25354,-0.52361,eIF3,-0.64684
5,EIF2B4,0.25494,-0.4901,eIF2B,-2.6206
13,EIF4G1,0.1606,-1.5293,eIF4F,-2.4135
21,EIF4E,0.1334,-2.6564,eIF4F,-2.6564
5,EIF3E,0.27322,-0.36355,eIF3,-1.7914
21,EIF3CL,0.17325,-0.64653,eIF3,-0.64653
5,EIF2B5,0.28486,-0.57597,eIF2B,-3.5204
21,EIF3D,0.18923,-1.223,eIF3,-1.223
21,EIF4A1,0.19025,-1.7645,eIF4F,-1.7645
5,EIF2S2,0.29348,-0.67919,eIF2,-1.0504
21,EIF3M,0.18959,-1.1375,eIF3,-1.1375
5,FLUC,0.31423,-0.26582,CONTROL,1.0323
13,EIF2S2,0.32237,-1.5788,eIF2,-1.0504
21,EIF3B,0.3557,-0.73798,eIF3,-0.73798
13,EIF3K,0.44592,-0.18391,eIF3,-0.64684
5,EIF3H,0.42251,-0.13251,eIF3,-2.0926
21,EIF2S2,0.43386,-1.0504,eIF2,-1.0504
21,EIF3K,0.45706,-0.64684,eIF3,-0.64684
13,EIF3A,0.592,-0.2374,eIF3,-1.3323
13,EIF3M,0.63781,-0.051134,eIF3,-1.1375
13,EIF3J,0.74216,-0.050473,eIF3,0.30323
13,NLUC,0.74567,1.8282,CONTROL,3.0824
21,EIF3J,0.77482,0.30323,eIF3,0.30323
21,NLUC,0.82308,3.0824,CONTROL,3.0824
21,EIF3L,0.85339,1.4539,eIF3,1.4539
5,EIF3I,0.72148,-0.039923,eIF3,-3.4309
5,EIF3A,0.78174,-0.13207,eIF3,-1.3323
5,EIF3J,0.83628,0.59021,eIF3,0.30323
13,EIF3L,0.94923,1.0865,eIF3,1.4539
13,FLUC,0.95147,1.004,CONTROL,1.0323
5,EIF2B2,0.88827,0.34129,eIF2B,-2.0163
21,FLUC,0.97245,1.0323,CONTROL,1.0323
5,EIF3L,0.94869,0.40414,eIF3,1.4539
5,EIF3M,0.96601,0.47393,eIF3,-1.1375
1,EIF2B5,1,0,eIF2B,-3.5204
1,EIF2B3,1,0,eIF2B,-2.9778
1,EIF2B4,1,0,eIF2B,-2.6206
1,EIF2S1,1,0,eIF2,-2.7071
1,EIF3I,1,0,eIF3,-3.4309
1,EIF2S3,1,0,eIF2,-3.0691
1,EIF3G,1,0,eIF3,-3.6146
1,EIF2B2,1,0,eIF2B,-2.0163
1,EIF2B1,1,0,eIF2B,-2.3717
1,EIF3B,1,0,eIF3,-0.73798
1,EIF3C,1,0,eIF3,-0.54929
1,EIF3E,1,0,eIF3,-1.7914
1,EIF4A1,1,0,eIF4F,-1.7645
1,EIF3H,1,0,eIF3,-2.0926
1,EIF3F,1,0,eIF3,-1.9172
1,EIF4E,1,0,eIF4F,-2.6564
1,EIF3CL,1,0,eIF3,-0.64653
1,EIF4G1,1,0,eIF4F,-2.4135
1,EIF3D,1,0,eIF3,-1.223
1,NLUC,1,0,CONTROL,3.0824
1,EIF3A,1,0,eIF3,-1.3323
1,EIF3K,1,0,eIF3,-0.64684
1,EIF2S2,1,0,eIF2,-1.0504
1,EIF3M,1,0,eIF3,-1.1375
1,FLUC,1,0,CONTROL,1.0323
1,EIF3J,1,0,eIF3,0.30323
1,EIF3L,1,0,eIF3,1.4539
