Distance (mm),Absorbance,sgRNA,Treatment,nuclease
8.04,0.504747,GCN1,HHT,+ micrococcal nuclease
8.14,0.491282,GCN1,HHT,+ micrococcal nuclease
8.24,0.46953,GCN1,HHT,+ micrococcal nuclease
8.34,0.433873,GCN1,HHT,+ micrococcal nuclease
8.44,0.425883,GCN1,HHT,+ micrococcal nuclease
8.54,0.40368499999999996,GCN1,HHT,+ micrococcal nuclease
8.64,0.383546,GCN1,HHT,+ micrococcal nuclease
8.74,0.35357299999999997,GCN1,HHT,+ micrococcal nuclease
8.84,0.340484,GCN1,HHT,+ micrococcal nuclease
8.94,0.33258899999999997,GCN1,HHT,+ micrococcal nuclease
9.04,0.32248099999999996,GCN1,HHT,+ micrococcal nuclease
9.14,0.310535,GCN1,HHT,+ micrococcal nuclease
9.24,0.29462299999999997,GCN1,HHT,+ micrococcal nuclease
9.34,0.28351499999999996,GCN1,HHT,+ micrococcal nuclease
9.44,0.271214,GCN1,HHT,+ micrococcal nuclease
9.54,0.25848299999999996,GCN1,HHT,+ micrococcal nuclease
9.64,0.24658999999999998,GCN1,HHT,+ micrococcal nuclease
9.74,0.237875,GCN1,HHT,+ micrococcal nuclease
9.83,0.227379,GCN1,HHT,+ micrococcal nuclease
9.94,0.21269099999999996,GCN1,HHT,+ micrococcal nuclease
10.04,0.20577299999999998,GCN1,HHT,+ micrococcal nuclease
10.13,0.20225699999999996,GCN1,HHT,+ micrococcal nuclease
10.23,0.19602599999999998,GCN1,HHT,+ micrococcal nuclease
10.34,0.18941199999999997,GCN1,HHT,+ micrococcal nuclease
10.44,0.181243,GCN1,HHT,+ micrococcal nuclease
10.53,0.17412499999999997,GCN1,HHT,+ micrococcal nuclease
10.64,0.163987,GCN1,HHT,+ micrococcal nuclease
10.74,0.16477999999999998,GCN1,HHT,+ micrococcal nuclease
10.84,0.162366,GCN1,HHT,+ micrococcal nuclease
10.93,0.15793200000000002,GCN1,HHT,+ micrococcal nuclease
11.03,0.15293400000000001,GCN1,HHT,+ micrococcal nuclease
11.13,0.14949099999999999,GCN1,HHT,+ micrococcal nuclease
11.23,0.14439000000000002,GCN1,HHT,+ micrococcal nuclease
11.33,0.13701999999999998,GCN1,HHT,+ micrococcal nuclease
11.43,0.135646,GCN1,HHT,+ micrococcal nuclease
11.53,0.13163199999999997,GCN1,HHT,+ micrococcal nuclease
11.63,0.129585,GCN1,HHT,+ micrococcal nuclease
11.73,0.13196599999999997,GCN1,HHT,+ micrococcal nuclease
11.83,0.12649899999999997,GCN1,HHT,+ micrococcal nuclease
11.93,0.12475599999999999,GCN1,HHT,+ micrococcal nuclease
12.03,0.12113,GCN1,HHT,+ micrococcal nuclease
12.13,0.11536300000000001,GCN1,HHT,+ micrococcal nuclease
12.23,0.11314,GCN1,HHT,+ micrococcal nuclease
12.33,0.11290599999999999,GCN1,HHT,+ micrococcal nuclease
12.43,0.11115199999999999,GCN1,HHT,+ micrococcal nuclease
12.53,0.10971199999999999,GCN1,HHT,+ micrococcal nuclease
12.63,0.10601999999999999,GCN1,HHT,+ micrococcal nuclease
12.73,0.10493000000000001,GCN1,HHT,+ micrococcal nuclease
12.83,0.100067,GCN1,HHT,+ micrococcal nuclease
12.93,0.09971200000000001,GCN1,HHT,+ micrococcal nuclease
13.03,0.097812,GCN1,HHT,+ micrococcal nuclease
13.13,0.09441799999999999,GCN1,HHT,+ micrococcal nuclease
13.23,0.093151,GCN1,HHT,+ micrococcal nuclease
13.32,0.092684,GCN1,HHT,+ micrococcal nuclease
13.42,0.09372499999999999,GCN1,HHT,+ micrococcal nuclease
13.52,0.091793,GCN1,HHT,+ micrococcal nuclease
13.63,0.089079,GCN1,HHT,+ micrococcal nuclease
13.72,0.092678,GCN1,HHT,+ micrococcal nuclease
13.82,0.089191,GCN1,HHT,+ micrococcal nuclease
13.92,0.08622999999999999,GCN1,HHT,+ micrococcal nuclease
14.02,0.086599,GCN1,HHT,+ micrococcal nuclease
14.12,0.08461,GCN1,HHT,+ micrococcal nuclease
14.22,0.07968099999999999,GCN1,HHT,+ micrococcal nuclease
14.32,0.083973,GCN1,HHT,+ micrococcal nuclease
14.42,0.080134,GCN1,HHT,+ micrococcal nuclease
14.52,0.08101499999999999,GCN1,HHT,+ micrococcal nuclease
14.62,0.080473,GCN1,HHT,+ micrococcal nuclease
14.72,0.07765399999999999,GCN1,HHT,+ micrococcal nuclease
14.82,0.077393,GCN1,HHT,+ micrococcal nuclease
14.92,0.075748,GCN1,HHT,+ micrococcal nuclease
15.02,0.072314,GCN1,HHT,+ micrococcal nuclease
15.12,0.07457899999999999,GCN1,HHT,+ micrococcal nuclease
15.22,0.07436,GCN1,HHT,+ micrococcal nuclease
15.32,0.073898,GCN1,HHT,+ micrococcal nuclease
15.42,0.071533,GCN1,HHT,+ micrococcal nuclease
15.52,0.073618,GCN1,HHT,+ micrococcal nuclease
15.62,0.071812,GCN1,HHT,+ micrococcal nuclease
15.72,0.07054799999999999,GCN1,HHT,+ micrococcal nuclease
15.82,0.067488,GCN1,HHT,+ micrococcal nuclease
15.91,0.070619,GCN1,HHT,+ micrococcal nuclease
16.02,0.070227,GCN1,HHT,+ micrococcal nuclease
16.12,0.07026400000000001,GCN1,HHT,+ micrococcal nuclease
16.21,0.069374,GCN1,HHT,+ micrococcal nuclease
16.31,0.06846699999999999,GCN1,HHT,+ micrococcal nuclease
16.41,0.07112600000000001,GCN1,HHT,+ micrococcal nuclease
16.52,0.06971399999999998,GCN1,HHT,+ micrococcal nuclease
16.61,0.074509,GCN1,HHT,+ micrococcal nuclease
16.71,0.07487999999999999,GCN1,HHT,+ micrococcal nuclease
16.81,0.07748799999999999,GCN1,HHT,+ micrococcal nuclease
16.92,0.079163,GCN1,HHT,+ micrococcal nuclease
17.01,0.08511500000000001,GCN1,HHT,+ micrococcal nuclease
17.11,0.08803000000000001,GCN1,HHT,+ micrococcal nuclease
17.21,0.09191300000000001,GCN1,HHT,+ micrococcal nuclease
17.31,0.09551,GCN1,HHT,+ micrococcal nuclease
17.41,0.09963599999999999,GCN1,HHT,+ micrococcal nuclease
17.51,0.10540300000000001,GCN1,HHT,+ micrococcal nuclease
17.61,0.10912499999999999,GCN1,HHT,+ micrococcal nuclease
17.71,0.11378999999999999,GCN1,HHT,+ micrococcal nuclease
17.81,0.11884199999999999,GCN1,HHT,+ micrococcal nuclease
17.91,0.12366200000000001,GCN1,HHT,+ micrococcal nuclease
18.01,0.128162,GCN1,HHT,+ micrococcal nuclease
18.11,0.131969,GCN1,HHT,+ micrococcal nuclease
18.21,0.136195,GCN1,HHT,+ micrococcal nuclease
18.31,0.13888699999999998,GCN1,HHT,+ micrococcal nuclease
18.41,0.14333,GCN1,HHT,+ micrococcal nuclease
18.51,0.14616,GCN1,HHT,+ micrococcal nuclease
18.61,0.14924199999999999,GCN1,HHT,+ micrococcal nuclease
18.71,0.15062799999999998,GCN1,HHT,+ micrococcal nuclease
18.81,0.15213300000000002,GCN1,HHT,+ micrococcal nuclease
18.91,0.15156799999999998,GCN1,HHT,+ micrococcal nuclease
19.01,0.152073,GCN1,HHT,+ micrococcal nuclease
19.11,0.155181,GCN1,HHT,+ micrococcal nuclease
19.2,0.15443,GCN1,HHT,+ micrococcal nuclease
19.31,0.152588,GCN1,HHT,+ micrococcal nuclease
19.4,0.153735,GCN1,HHT,+ micrococcal nuclease
19.5,0.152567,GCN1,HHT,+ micrococcal nuclease
19.61,0.148196,GCN1,HHT,+ micrococcal nuclease
19.7,0.147246,GCN1,HHT,+ micrococcal nuclease
19.8,0.14427299999999998,GCN1,HHT,+ micrococcal nuclease
19.91,0.140839,GCN1,HHT,+ micrococcal nuclease
20,0.137519,GCN1,HHT,+ micrococcal nuclease
20.1,0.13601999999999997,GCN1,HHT,+ micrococcal nuclease
20.2,0.13154899999999997,GCN1,HHT,+ micrococcal nuclease
20.3,0.128245,GCN1,HHT,+ micrococcal nuclease
20.4,0.122874,GCN1,HHT,+ micrococcal nuclease
20.5,0.11902800000000001,GCN1,HHT,+ micrococcal nuclease
20.6,0.115418,GCN1,HHT,+ micrococcal nuclease
20.7,0.11145100000000001,GCN1,HHT,+ micrococcal nuclease
20.8,0.109895,GCN1,HHT,+ micrococcal nuclease
20.9,0.10495700000000001,GCN1,HHT,+ micrococcal nuclease
21,0.10246599999999999,GCN1,HHT,+ micrococcal nuclease
21.1,0.09655799999999999,GCN1,HHT,+ micrococcal nuclease
21.2,0.09094599999999999,GCN1,HHT,+ micrococcal nuclease
21.3,0.08991400000000001,GCN1,HHT,+ micrococcal nuclease
21.4,0.084184,GCN1,HHT,+ micrococcal nuclease
21.5,0.07923799999999999,GCN1,HHT,+ micrococcal nuclease
