sample_name,start,seqnames,end,width,strand,score,psite,gene_name,transcript_name,drug,sgrna
sgfluc_dmso_mono,1,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,2,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,3,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,4,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,5,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,6,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,7,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,8,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,9,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,10,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,11,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,12,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,13,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,14,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,15,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,16,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,17,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,18,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,19,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,20,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,21,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,22,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,23,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,24,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,25,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,26,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,27,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,28,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,29,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,30,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
sgfluc_dmso_mono,31,NA,NA,NA,NA,0,NA,NA,NA,dmso,fluc
